Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week,Vertical
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/dentistry/pediatric-dentistry/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'at what age should my child first see a dentist and what should I expect' with numerical data tables.","Y","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","medium incumbent","structure","page fix","dentistry/pediatric-dentistry/index.html","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/dentistry/pediatric-dentistry/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","N","Missing direct, structured H2 answer for specific intent 'at what age should my child first see a dentist and what should I expect' with numerical data tables.","Y","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","medium incumbent","structure","page fix","dentistry/pediatric-dentistry/index.html","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/dentistry/pediatric-dentistry/","theindustryguides.com","Gemini 1.5 Flash","2026-09-01","","structured multi-point advisory","N","Y","Missing direct, structured H2 answer for specific intent 'at what age should my child first see a dentist and what should I expect' with numerical data tables.","Y","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured comparison table and decision checklist immediately below primary guide header","2","L1→L2 ↑ vs. 2026-08-25 (7d ago)","","medium incumbent","structure","page fix","dentistry/pediatric-dentistry/index.html","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured comparison table and decision checklist immediately below primary guide header","L1→L2 ↑ vs. 2026-08-25 (7d ago)","dentistry"
"average cost of clear aligners 2026","https://theindustryguides.com/dentistry/clear-aligners/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'average cost of clear aligners 2026' with numerical data tables.","Y","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","strong incumbent","completeness","outperform","dentistry/clear-aligners/index.html","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"average cost of clear aligners 2026","https://theindustryguides.com/dentistry/clear-aligners/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","Y","Missing direct, structured H2 answer for specific intent 'average cost of clear aligners 2026' with numerical data tables.","Y","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured comparison table and decision checklist immediately below primary guide header","2","L1→L2 ↑ vs. 2026-08-25 (7d ago)","","strong incumbent","completeness","outperform","dentistry/clear-aligners/index.html","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured comparison table and decision checklist immediately below primary guide header","L1→L2 ↑ vs. 2026-08-25 (7d ago)","dentistry"
"average cost of clear aligners 2026","https://theindustryguides.com/dentistry/clear-aligners/","theindustryguides.com","Gemini 1.5 Flash","2026-09-01","","structured multi-point advisory","N","Y","Missing direct, structured H2 answer for specific intent 'average cost of clear aligners 2026' with numerical data tables.","Y","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured comparison table and decision checklist immediately below primary guide header","2","L1→L2 ↑ vs. 2026-08-25 (7d ago)","","strong incumbent","completeness","outperform","dentistry/clear-aligners/index.html","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured comparison table and decision checklist immediately below primary guide header","L1→L2 ↑ vs. 2026-08-25 (7d ago)","dentistry"
"can a dental abscess wait until Monday or do I need emergency care now","https://theindustryguides.com/dentistry/emergency-dentistry/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'can a dental abscess wait until Monday or do I need emergency care now' with numerical data tables.","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","clarity","page fix","dentistry/emergency-dentistry/index.html","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"can a dental abscess wait until Monday or do I need emergency care now","https://theindustryguides.com/dentistry/emergency-dentistry/","theindustryguides.com","Perplexity","2026-09-01","","synthesized answer with citations","N","N","Missing direct, structured H2 answer for specific intent 'can a dental abscess wait until Monday or do I need emergency care now' with numerical data tables.","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","clarity","page fix","dentistry/emergency-dentistry/index.html","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"can a dental abscess wait until Monday or do I need emergency care now","https://theindustryguides.com/dentistry/emergency-dentistry/","theindustryguides.com","Gemini 1.5 Flash","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'can a dental abscess wait until Monday or do I need emergency care now' with numerical data tables.","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","weak incumbent","clarity","page fix","dentistry/emergency-dentistry/index.html","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
"cost of full mouth dental implants with insurance","https://theindustryguides.com/dentistry/dental-implants/","theindustryguides.com","OpenAI GPT-4o","2026-09-01","","structured multi-point advisory","N","N","Missing direct, structured H2 answer for specific intent 'cost of full mouth dental implants with insurance' with numerical data tables.","Y","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured comparison table and decision checklist immediately below primary guide header","1","L1 (unchanged vs 2026-08-25)","","strong incumbent","completeness","outperform","dentistry/dental-implants/index.html","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured comparison table and decision checklist immediately below primary guide header","L1 (unchanged vs 2026-08-25)","dentistry"
