Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/dentistry/pediatric-dentistry/","","OpenAI GPT-4o","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""at what age should my child first see a dentist and what should I expect""","Y","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/pediatric-dentistry/index.html","Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/dentistry/pediatric-dentistry/","","Perplexity","2026-08-25","https://health.clevelandclinic.org/when-should-i-start-taking-my-child-to-the-dentist, https://leapkidsdental.com/when-should-my-child-first-visit-the-dentist/, https://www.thesuperdentists.com/the-3-most-important-ages-for-kids-to-visit-the-dentist/, https://www1.deltadentalins.com/wellness/kids/articles/first-visit-to-dentist.html, https://childrensdentalhealth.com/when-should-my-child-have-their-first-dental-appointment/","prose","N","N","LLM used generic authority sources; missing concise on-page answer block for ""at what age should my child first see a dentist and what should I expect""","Y","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","https://health.clevelandclinic.org/when-should-i-start-taking-my-child-to-the-dentist, https://leapkidsdental.com/when-should-my-child-first-visit-the-dentist/, https://www.thesuperdentists.com/the-3-most-important-ages-for-kids-to-visit-the-dentist/","strong incumbent","structure","page fix","dentistry/pediatric-dentistry/index.html","Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/dentistry/pediatric-dentistry/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""at what age should my child first see a dentist and what should I expect""","Y","FILEPATH: dentistry/pediatric-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""at what age should my child first see a dentist and what should I expect"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/pediatric-dentistry/index.html","Add H2 ""At what age should my child first see a dentist and what should I expect"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"average cost of clear aligners 2026","https://theindustryguides.com/dentistry/clear-aligners/","","OpenAI GPT-4o","2026-08-25","","prose","N","N","LLM used generic authority sources; missing concise on-page answer block for ""average cost of clear aligners 2026""","Y","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/clear-aligners/index.html","Add H2 ""Average cost of clear aligners 2026"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"average cost of clear aligners 2026","https://theindustryguides.com/dentistry/clear-aligners/","","Perplexity","2026-08-25","https://www.deryaklinik.com/en/blog/clear-aligner-prices-2026, https://www.segoviaorthodonticslakewoodranch.com/how-much-do-clear-aligners-really-cost-in-2026/, https://turkeyluxuryclinics.com/en/blog/clear-aligners-cost, https://www.aspendental.com/dental-care-resources/how-much-do-clear-aligners-cost-2026/, https://alignerco.com/blogs/treatment/clear-aligners-cost?srsltid=AfmBOopps-nR8Yu6epnj8BTNdksnZIOkz_6GWFBHscBKXZlVedq8sgm5","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""average cost of clear aligners 2026""","Y","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","https://www.deryaklinik.com/en/blog/clear-aligner-prices-2026, https://www.segoviaorthodonticslakewoodranch.com/how-much-do-clear-aligners-really-cost-in-2026/, https://turkeyluxuryclinics.com/en/blog/clear-aligners-cost","strong incumbent","structure","page fix","dentistry/clear-aligners/index.html","Add H2 ""Average cost of clear aligners 2026"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"average cost of clear aligners 2026","https://theindustryguides.com/dentistry/clear-aligners/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""average cost of clear aligners 2026""","Y","FILEPATH: dentistry/clear-aligners/index.html || CURRENT: Existing guide structured with direct answer checklist and provider handoff block || MISSING: Direct H2 addressing ""average cost of clear aligners 2026"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Average cost of clear aligners 2026"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/clear-aligners/index.html","Add H2 ""Average cost of clear aligners 2026"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"can a dental abscess wait until Monday or do I need emergency care now","https://theindustryguides.com/dentistry/emergency-dentistry/","","OpenAI GPT-4o","2026-08-25","","prose","N","N","LLM used generic authority sources; missing concise on-page answer block for ""can a dental abscess wait until Monday or do I need emergency care now""","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/emergency-dentistry/index.html","Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"can a dental abscess wait until Monday or do I need emergency care now","https://theindustryguides.com/dentistry/emergency-dentistry/","","Perplexity","2026-08-25","https://my.clevelandclinic.org/health/articles/11368--dental-emergencies-what-to-do, https://dentalgroupofchicago.com/when-should-you-go-er-abscess-tooth/, https://www.nhs.uk/conditions/dental-abscess/, https://www.gainesvilledentistryco.com/blog/tooth-infection-emergency/, https://www.oncalldentalfresno.com/blog/does-a-dental-abscess-require-urgent-attention/","prose","N","N","LLM used generic authority sources; missing concise on-page answer block for ""can a dental abscess wait until Monday or do I need emergency care now""","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","https://my.clevelandclinic.org/health/articles/11368--dental-emergencies-what-to-do, https://dentalgroupofchicago.com/when-should-you-go-er-abscess-tooth/, https://www.nhs.uk/conditions/dental-abscess/","strong incumbent","structure","page fix","dentistry/emergency-dentistry/index.html","Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"can a dental abscess wait until Monday or do I need emergency care now","https://theindustryguides.com/dentistry/emergency-dentistry/","","Gemini 1.5 Flash","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""can a dental abscess wait until Monday or do I need emergency care now""","Y","FILEPATH: dentistry/emergency-dentistry/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""can a dental abscess wait until Monday or do I need emergency care now"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/emergency-dentistry/index.html","Add H2 ""Can a dental abscess wait until Monday or do I need emergency care now"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
"cost of full mouth dental implants with insurance","https://theindustryguides.com/dentistry/dental-implants/","","OpenAI GPT-4o","2026-08-25","","numbered_list","N","N","LLM used generic authority sources; missing concise on-page answer block for ""cost of full mouth dental implants with insurance""","Y","FILEPATH: dentistry/dental-implants/index.html || CURRENT: Overview guide with general advisory content and orientation markers || MISSING: Direct H2 addressing ""cost of full mouth dental implants with insurance"" with concrete numerical benchmarks and comparative evaluation table || EDIT: Add H2 ""Cost of full mouth dental implants with insurance"" with structured table and bulleted checklist immediately below primary guide header","1","L1 = vs. 2026-08-18 (7d ago)","","strong incumbent","structure","page fix","dentistry/dental-implants/index.html","Add H2 ""Cost of full mouth dental implants with insurance"" with structured table and bulleted checklist immediately below primary guide header","L1 = vs. 2026-08-18 (7d ago)"
