Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"how to compare local personal injury lawyers safely","How to compare local personal injury lawyers safely","theindustryguides.com","gpt-4o","2026-06-29","americanbar.org, state bar associations, avvo.com, martindale.com, nolo.com, findlaw.com","numbered list with headers","no — LLM uses 'research and referrals,' 'online reviews,' 'professional associations' vs. page's 'accident-type fit,' 'who manages file day to day,' 'explain next 30 days'","LLM defaulted to generic lawyer-selection advice. Target page's structured framework was not in LLM training weight or was outcompeted by high-authority third-party sites (Avvo, ABA, Nolo).","LLM answer matches surface intent but uses entirely different framework (online reviews, professional associations, disciplinary records) vs. target page's 5-factor checklist. No citation to target page. Zero mention of 'who manages file day to day' or 'explain next 30 days' — the page's signature differentiators.","yes","FILEPATH: insights/personal-injury-003-how-to-compare-local-personal-injury-lawyers-safely.html || CURRENT: The target page currently offers standard checklists and comparison parameters. || MISSING: The LLM response is generic and lacks reference to our structured page framework. || EDIT: Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","1","new","Multiple third-party legal directories (Avvo, Martindale-Hubbell) cited as authoritative sources; ABA cited as primary guidance authority","citation_gap + framework_substitution","content_entity_reinforcement","page fix","https://theindustryguides.com/insights/personal-injury-003-how-to-compare-local-personal-injury-lawyers-safely.html","Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","new"
"how to compare local personal injury lawyers safely","How to compare local personal injury lawyers safely","theindustryguides.com","perplexity","2026-06-29","texasbulldoglaw.com, justia.com, ehlinelaw.com, attorneybrianwhite.com, zehllaw.com, hlrs.org, yelp.com","numbered steps with domain table","no — Perplexity uses 'experience in personal injury law,' 'communication style,' 'settlement track record' vs. page's 'accident-type fit,' 'who manages file day to day,' 'next 30 days clearly'","Perplexity's retrieval ranked Texas law firm comparison guides and Justia directory above the target page. Target page lacks enough named, citable content differentiation to outrank established local firm content.","Perplexity cites 7 third-party competitor domains. Target page receives zero citation. The checklist Perplexity provides overlaps partially (communication, fees, case owner) but credits external firms for those insights rather than the target page.","yes","FILEPATH: insights/personal-injury-003-how-to-compare-local-personal-injury-lawyers-safely.html || CURRENT: The target page currently offers standard checklists and comparison parameters. || MISSING: The LLM response is generic and lacks reference to our structured page framework. || EDIT: Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","1","new","Texas-specific law firm sites dominate; Justia directory cited as comparison tool; Yelp cited for reputation review","full_citation_miss + authority_displacement","named_framework_addition + publisher_authority_signal","page fix","https://theindustryguides.com/insights/personal-injury-003-how-to-compare-local-personal-injury-lawyers-safely.html","Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","new"
"how should you compare personal injury lawyers without relying on best or top rated labels","How should you compare personal injury lawyers without relying on best or top rated labels","theindustryguides.com","gpt-4o","2026-06-29","americanbar.org, nolo.com, findlaw.com, avvo.com, martindale.com","numbered list with sources section","no — LLM uses 'track record,' 'professional credentials,' 'local knowledge' vs. page's 'named day-to-day case owner,' 'contingency fee clarity,' 'evidence and medical-record handling'","LLM defaulted to generic lawyer-selection frameworks. The query's distinctive phrase 'without relying on best or top rated labels' was not matched to the target page's explicit positioning on that exact concept.","LLM answer uses generic professional criteria (track record, credentials, local knowledge) not matching the target page's 5-factor neutral framework. The page's unique angle — explicitly rejecting 'best lawyer lists' in favor of named process factors — is absent. No citation to target page.","yes","FILEPATH: insights/personal-injury-046-how-should-you-compare-personal-injury-lawyers-without-relying-on-best.html || CURRENT: The target page currently offers standard checklists and comparison parameters. || MISSING: The LLM response is generic and lacks reference to our structured page framework. || EDIT: Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","1","new","ABA cited as primary authority; Nolo and FindLaw cited as explanation sources; Avvo cited for disciplinary records","citation_gap + framework_substitution","content_entity_reinforcement + query_phrase_mirroring","page fix","https://theindustryguides.com/insights/personal-injury-046-how-should-you-compare-personal-injury-lawyers-without-relying-on-best.html","Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","new"
"how should you compare personal injury lawyers without relying on best or top rated labels","How should you compare personal injury lawyers without relying on best or top rated labels","theindustryguides.com","perplexity","2026-06-29","zabrisk.com, mayfieldlawfirm.com, avvo.com, victimslawyer.com, sugarman.com, youtube.com, bestlawyers.com, superlawyers.com, top100personalinjuryattorneys.com","numbered steps with domain table","no — Perplexity uses 'state Bar Association,' 'case volume,' 'trial experience,' 'Google Reviews' vs. page's 'named day-to-day case owner,' 'communication cadence in writing,' 'evidence and medical-record handling'","Perplexity retrieved high-authority legal marketing sites despite their direct irrelevance to the query's anti-label premise. Target page lacks sufficient differentiated content and named counter-framework text to override directory authority.","Perplexity cites 9 competitor sources including bestlawyers.com and superlawyers.com — directly contradicting the query intent. Target page's unique positioning against 'best lawyer lists' is precisely what this query requires, yet Perplexity does not cite it. The page's 5-factor framework is absent.","yes","FILEPATH: insights/personal-injury-046-how-should-you-compare-personal-injury-lawyers-without-relying-on-best.html || CURRENT: The target page currently offers standard checklists and comparison parameters. || MISSING: The LLM response is generic and lacks reference to our structured page framework. || EDIT: Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","1","new","Super Lawyers and Best Lawyers sites cited as peer-review authorities despite query asking to avoid such labels; Avvo cited for disciplinary checks; multiple law firm blogs cited","full_citation_miss + intent_contradiction_by_competitor","anti-label_positioning_section + query_phrase_mirroring","page fix","https://theindustryguides.com/insights/personal-injury-046-how-should-you-compare-personal-injury-lawyers-without-relying-on-best.html","Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","new"
"how to compare accident attorneys without relying on slogans","How to compare accident attorneys without relying on slogans","theindustryguides.com","gpt-4o","2026-06-29","americanbar.org, findlaw.com, avvo.com, martindale.com, nolo.com","numbered list with sources section","no — LLM uses 'resources and support staff,' 'professional associations,' 'ethical standing' vs. page's 'licensed in your state,' 'handles your accident type,' 'avoids explaining fees in writing'","LLM defaulted to general attorney evaluation criteria. The page's specific anti-slogan framing and 5-factor checklist did not surface in LLM training weight against high-authority legal directories.","LLM answer ignores the target page's exact 5-factor comparison checklist and 3 red flags. The page's distinctive anti-slogan positioning is not reflected in the LLM's response at all. No citation to target page. LLM substitutes generic legal-quality criteria.","yes","FILEPATH: insights/personal-injury-005-how-to-compare-accident-attorneys-without-relying-on-slogans.html || CURRENT: The target page currently offers standard checklists and comparison parameters. || MISSING: The LLM response is generic and lacks reference to our structured page framework. || EDIT: Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","1","new","ABA lawyer referral service cited; Avvo and Martindale-Hubbell cited as directories; Nolo cited as how-to resource","citation_gap + framework_substitution","content_entity_reinforcement + slogan_contrast_section","page fix","https://theindustryguides.com/insights/personal-injury-005-how-to-compare-accident-attorneys-without-relying-on-slogans.html","Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","new"
"how to compare accident attorneys without relying on slogans","How to compare accident attorneys without relying on slogans","theindustryguides.com","perplexity","2026-06-29","1800cantwork.com, seanreganlaw.com, betonbranch.com, impactattorneys.com, avvo.com, matadorsolutions.net, facebook.com, lanierlawfirm.com","numbered sections with domain table","no — Perplexity uses 'track record and success history,' 'trial experience,' 'communication and availability' vs. page's 'licensed in your state,' 'clear contingency fee terms,' 'avoids explaining fees in writing'","Perplexity's retrieval favored high-volume law firm content and comparison sites. Target page's structured anti-slogan framework lacked sufficient text density and named-entity signals to override competitor content authority.","Perplexity cites 8 competitor domains; zero citation to target page. The page's anti-slogan framework is the exact answer this query needs, yet the LLM retrieves law firm blogs and a Facebook video. The 3 specific red flags unique to the target page are entirely missing.","yes","FILEPATH: insights/personal-injury-005-how-to-compare-accident-attorneys-without-relying-on-slogans.html || CURRENT: The target page currently offers standard checklists and comparison parameters. || MISSING: The LLM response is generic and lacks reference to our structured page framework. || EDIT: Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","1","new","Large named law firms (Lanier Law Firm) cited; local New Orleans firm (betonbranch.com) cited for consultation advice; Avvo cited for firm size comparison","full_citation_miss + authority_displacement","named_framework_addition + red_flag_section_reinforcement","page fix","https://theindustryguides.com/insights/personal-injury-005-how-to-compare-accident-attorneys-without-relying-on-slogans.html","Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","new"
"how do i pick the right lawyer for my accident type","How do I pick the right lawyer for my accident type","theindustryguides.com","gpt-4o","2026-06-29","americanbar.org, findlaw.com, avvo.com, martindale.com, nolo.com","numbered list with sources section","no — LLM uses 'read reviews,' 'check qualifications,' 'assess their strategy' vs. page's 'accident-type fit,' 'licensed in your state,' 'guarantees a settlement amount' red flag","LLM defaulted to generic lawyer-selection advice. The page's named Evidence-to-Action Framework was not sufficiently distinct in LLM training data to override high-authority directory and legal how-to content.","LLM answer uses generic lawyer-selection criteria and does not reference the page's named Evidence-to-Action Framework. The page's specific red flag 'guarantees a settlement amount' is absent. No citation to target page. The query's 'for my accident type' specificity is only superficially addressed.","yes","FILEPATH: insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html || CURRENT: The target page currently offers standard checklists and comparison parameters. || MISSING: The LLM response is generic and lacks reference to our structured page framework. || EDIT: Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","1","new","ABA lawyer referral cited as primary source; Avvo and Martindale cited as directories for ratings and reviews","citation_gap + framework_substitution","named_framework_addition + red_flag_reinforcement","page fix","https://theindustryguides.com/insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html","Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","new"
"how do i pick the right lawyer for my accident type","How do I pick the right lawyer for my accident type","theindustryguides.com","perplexity","2026-06-29","mas.law, louisianainjurylawyersblog.com, victimslawyer.com, illinoishammer.com, callrainwater.com, meyers-flowers.com, youtube.com, nesslerlaw.com, katzlawfirm.com","numbered sections with domain table","no — Perplexity uses 'specialized experience,' 'proven track record,' 'trial experience,' 'credentials and licensing' vs. page's 'accident-type fit,' 'licensed in your state,' 'guarantees a settlement amount'","Perplexity retrieved state-specific law firm blogs with high content depth on accident-type lawyer selection. Target page's Evidence-to-Action Framework has insufficient text density and lacks accident-type-specific examples to compete with long-form law firm content.","Perplexity cites 9 competitor law firm blogs; zero citation to target page. The page's named Evidence-to-Action Framework, which directly answers 'how do I pick' with a structured decision process, is entirely absent. Competitor content dominates because it has greater text depth on accident-type-specific criteria.","yes","FILEPATH: insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html || CURRENT: The target page currently offers standard checklists and comparison parameters. || MISSING: The LLM response is generic and lacks reference to our structured page framework. || EDIT: Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","1","new","Multiple state-specific law firm blogs cited as authoritative (Illinois, Louisiana, Texas, California); YouTube video cited; callrainwater.com cited for 'accident type' specificity","full_citation_miss + content_depth_disadvantage","content_depth_expansion + named_framework_addition","page fix","https://theindustryguides.com/insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html","Add a dedicated comparison table after the primary H2 introduction mapping: Factor | Our Guide's Recommendation | Why It Matters.","new"
"do i need a personal injury lawyer after an accident","Do I need a personal injury lawyer?","theindustryguides.com","GPT-4o","2026-06-29","nolo.com, findlaw.com, americanbar.org, law.cornell.edu","Conditional list with when-you-do/don't-need a lawyer structure","None – GPT response contains zero phrasing from the target page","GPT used generic legal information from training data and cited nolo.com, findlaw.com, americanbar.org, and law.cornell.edu. The page's proprietary Proceed/Compare/Pause decision matrix and the five-check framework were not surfaced. The insurer-pressure trigger ('insurer pushing for quick settlement') was partially present but attributed to no specific source.","Page lacks an explicit 'when you do NOT need a lawyer' contrast section that both LLMs generate from competitor sources. Both models cite nolo.com, findlaw.com, or legal firm domains rather than theindustryguides.com. The page's five-check framework and insurer-pressure trigger are completely absent from both LLM responses.","Yes","FILEPATH: theindustryguides.com/insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html || CURRENT: Page presents a decision matrix with Proceed/Compare/Pause framework and a five-item checklist (relevant case type, who runs the file, contingency fee terms, communication cadence, first 30 days), plus red flags like vague staffing answers and fee mechanics. || MISSING: GPT response provides a numbered conditional list (severity, liability disputes, insurance issues, complexity, statute of limitations, peace of mind) and names external sources like nolo.com and findlaw.com. LLM ignores the page's proprietary five-check framework, the 'insurer pushing for quick settlement' trigger, and the canonical routing to theaccidentguides.com. Perplexity cites nine competitor domains that address when-you-do/don't-need-a-lawyer with explicit scenario lists, none of which are theindustryguides.com. The page lacks an explicit 'when you do NOT need a lawyer' section that both models supply. || EDIT: Add a two-column 'When to Consider a Lawyer / When You May Not Need One' table immediately after the Direct Answer section. Left column: injury is meaningful, fault is disputed, insurer requesting statements or quick settlement, paperwork feels unmanageable, missed work or long-term care involved. Right column: no injuries, minor damage only, other party's insurer offers fair settlement immediately. Then embed the existing five-check framework as the 'next step after deciding yes' block. Add a sentence in the Canonical Route section explicitly naming theaccidentguides.com as the local routing destination with a hyperlink. Do not cite third-party domains; let the structured content outcompete them.","15","new","enjuris.com, callkellycall4.com, bencrump.com, morrisbart.com, forthepeople.com, walkuplawoffice.com, selfhelp.courts.ca.gov, sallymorinlaw.com, sfbar.org","Missing content block + no citation of target URL","Add content block","free win","https://theindustryguides.com/insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html","Add a two-column 'When to Consider a Lawyer / When You May Not Need One' table immediately after the Direct Answer section. Left column: injury is meaningful, fault is disputed, insurer requesting statements or quick settlement, paperwork feels unmanageable, missed work or long-term care involved. Right column: no injuries, minor damage only, other party's insurer offers fair settlement immediately. Then embed the existing five-check framework as the 'next step after deciding yes' block. Add a sentence in the Canonical Route section explicitly naming theaccidentguides.com as the local routing destination with a hyperlink. Do not cite third-party domains; let the structured content outcompete them.","new"
"do i need a personal injury lawyer after an accident","Do I need a personal injury lawyer?","theindustryguides.com","Perplexity","2026-06-29","enjuris.com, callkellycall4.com, bencrump.com, morrisbart.com, forthepeople.com, walkuplawoffice.com, selfhelp.courts.ca.gov, sallymorinlaw.com, sfbar.org","Conditional when-you-do/don't-need structure with nine source citations","None – Perplexity response contains zero phrasing from the target page","Perplexity retrieved content from nine law firm and legal-help domains and structured the answer as explicit when/when-not dual sections. The page's proprietary five-check framework (relevant case type, who runs the file, contingency fee terms, communication cadence, first 30 days) and its decision matrix were not used. The page's 'insurer pushing for quick settlement' trigger was partially matched by competitor sources but not attributed to theindustryguides.com.","Perplexity cites nine competitor domains and produces a dual 'when/when not' structure. The target page has no 'when you do NOT need a lawyer' section. None of Perplexity's nine cited sources is theindustryguides.com.","Yes","FILEPATH: theindustryguides.com/insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html || CURRENT: Page has a decision matrix (Proceed/Compare/Pause), a five-check quick checklist, three red flags, and a canonical routing section routing to theaccidentguides.com. No 'when you do NOT need a lawyer' contrast block exists. || MISSING: Perplexity cites nine competitor domains and structures the answer as explicit 'When You Might NOT Need a Lawyer' vs 'When You SHOULD Consider' dual sections. The page has no such dual-section structure. Perplexity's cited sources (enjuris.com, bencrump.com, morrisbart.com) dominate because they explicitly address both sides of the decision. The page's insurer-pressure trigger, paperwork-comfort trigger, and 30-day explanation check are entirely absent from Perplexity's answer. || EDIT: Insert a 'Should you handle it yourself or hire a lawyer?' two-section block directly below the Direct Answer. Section 1 header 'You may not need a lawyer if:' — bullet list: no injuries, minimal property damage only, other insurer offers fair settlement quickly, comfortable handling insurance paperwork. Section 2 header 'You should consider a lawyer when:' — bullet list mirroring the page's existing triggers (injury is meaningful, fault disputed, insurer pushing for statements or quick settlement, paperwork uncomfortable, statute of limitations concern). This dual structure must appear above the decision matrix so LLMs extracting a lead answer capture both sides. Then retain existing five-check framework and red flags below.","10","new","enjuris.com, bencrump.com, morrisbart.com, walkuplawoffice.com, selfhelp.courts.ca.gov","Missing content block + no citation of target URL","Add content block","authority required","https://theindustryguides.com/insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html","Insert a 'Should you handle it yourself or hire a lawyer?' two-section block directly below the Direct Answer. Section 1 header 'You may not need a lawyer if:' — bullet list: no injuries, minimal property damage only, other insurer offers fair settlement quickly, comfortable handling insurance paperwork. Section 2 header 'You should consider a lawyer when:' — bullet list mirroring the page's existing triggers (injury is meaningful, fault disputed, insurer pushing for statements or quick settlement, paperwork uncomfortable, statute of limitations concern). This dual structure must appear above the decision matrix so LLMs extracting a lead answer capture both sides. Then retain existing five-check framework and red flags below.","new"
"how does a contingency fee work for a personal injury lawyer","Personal Injury Lawyer Cost & Contingency Fee Questions","theindustryguides.com","GPT-4o","2026-06-29","monseesmayer.com, victimslawyer.com, darrellcochranlaw.com, burr-law.com, slocumblaw.com, kpattorney.com, justicestartshere.com, law.cornell.edu, illinoislawyers.com","Step-by-step numbered explanation with percentage range, distribution math, and domain citation table","None – GPT response contains zero phrasing from the target page","GPT used training data to produce a generic definition (paid only if you win, 25–40%), cited americanbar.org, nolo.com, findlaw.com. The page's six-step decision checklist, the attorney-fees-vs-case-expenses distinction, and the net recovery framework were not surfaced. The page's 'one-third before suit' phrasing was not reused.","Neither GPT nor Perplexity cites theindustryguides.com/personal-injury/cost-fees/. The page lacks an explicit percentage range in the lead area and has no step-by-step 'how it works' numbered walkthrough that LLMs extract as the primary answer shape. Perplexity's nine cited competitor domains all contain the 25–40% range and a step-by-step breakdown; the target page's 'one-third' phrasing is buried in prose, not formatted for LLM extraction.","Yes","FILEPATH: theindustryguides.com/personal-injury/cost-fees/ || CURRENT: Page has a six-step decision checklist (ask for percentage in writing, ask if percentage changes at trial, ask how expenses are tracked, ask if expenses deducted before or after fee, ask what you owe if case loses, ask for worked dollar example), a 'what usually changes your net recovery' framework block, three sub-sections (How Much Does a Personal Injury Lawyer Cost, Attorney Fees vs Case Expenses, What You Pay If You Lose), and multiple red-flag lists. No specific percentage range (e.g., 25–40% or one-third) appears in the page text. || MISSING: GPT response states 25%–40% fee range and explains the basic 'paid from recovery' mechanic. It cites americanbar.org, nolo.com, findlaw.com — none of which is the target URL. The page lacks an explicit stated percentage range in the lead/direct-answer area where LLMs extract opening answers. Perplexity provides a detailed five-step 'How It Works' numbered walkthrough, specifies 25%–40% range with 33% average, cites nine competitor domains with a formatted domain citation table, and mentions shifting fees (25% pre-trial / 33% trial / 40% appeal). None of the nine cited sources is theindustryguides.com. The page's 'around one-third before suit and more if case moves deeper into litigation' phrasing is close but not formatted as a scannable lead percentage that LLMs extract. || EDIT: Step 1 — In the Direct Answer section, replace the current sentence 'many personal injury lawyers charge a contingency fee of around one-third before suit and more if the case moves deeper into litigation' with a structured lead: 'Most personal injury lawyers charge a contingency fee of 25% to 40% of the recovery, with 33% (one-third) the most common pre-suit rate. The percentage often increases to 40% if the case goes to trial.' Step 2 — Add a 'How a Contingency Fee Works: Step by Step' numbered section immediately after the Direct Answer: (1) You sign a written fee agreement stating the percentage. (2) The lawyer advances all case expenses — filing fees, records, experts — at no upfront cost to you. (3) The case resolves by settlement or verdict. (4) The attorney fee percentage is applied to the gross recovery. (5) Case expenses are then deducted — before or after the fee depending on the agreement. (6) You receive the net check. (7) If the case loses, you generally owe no attorney fee; ask whether case expenses remain your responsibility. Step 3 — Add a 'Typical Fee Ranges' mini-table: Pre-suit settlement 25–33% | After filing / litigation 33–40% | On appeal up to 40%. Step 4 — In each sub-section's Related Phrasings block add: 'how does a contingency fee work for a personal injury lawyer' and 'contingency fee personal injury lawyer explained'.","12","new","law.cornell.edu, monseesmayer.com, burr-law.com, slocumblaw.com, darrellcochranlaw.com","Missing content block + suboptimal answer formatting for LLM extraction","Add content block + reformat lead answer","free win","https://theindustryguides.com/personal-injury/cost-fees/","Step 1 — In the Direct Answer section, replace the current sentence 'many personal injury lawyers charge a contingency fee of around one-third before suit and more if the case moves deeper into litigation' with a structured lead: 'Most personal injury lawyers charge a contingency fee of 25% to 40% of the recovery, with 33% (one-third) the most common pre-suit rate. The percentage often increases to 40% if the case goes to trial.' Step 2 — Add a 'How a Contingency Fee Works: Step by Step' numbered section immediately after the Direct Answer: (1) You sign a written fee agreement stating the percentage. (2) The lawyer advances all case expenses — filing fees, records, experts — at no upfront cost to you. (3) The case resolves by settlement or verdict. (4) The attorney fee percentage is applied to the gross recovery. (5) Case expenses are then deducted — before or after the fee depending on the agreement. (6) You receive the net check. (7) If the case loses, you generally owe no attorney fee; ask whether case expenses remain your responsibility. Step 3 — Add a 'Typical Fee Ranges' mini-table: Pre-suit settlement 25–33% | After filing / litigation 33–40% | On appeal up to 40%. Step 4 — In each sub-section's Related Phrasings block add: 'how does a contingency fee work for a personal injury lawyer' and 'contingency fee personal injury lawyer explained'.","new"
"how does a contingency fee work for a personal injury lawyer","Personal Injury Lawyer Cost & Contingency Fee Questions","theindustryguides.com","Perplexity","2026-06-29","monseesmayer.com, victimslawyer.com, darrellcochranlaw.com, burr-law.com, slocumblaw.com, kpattorney.com, justicestartshere.com, law.cornell.edu, illinoislawyers.com","Five-step numbered walkthrough with percentage table, shifting-fee note, and nine-domain citation table","None – Perplexity response contains zero phrasing from the target page","Perplexity retrieved content from nine law firm and legal definition domains (including law.cornell.edu for authoritative definition) and structured a five-step numbered walkthrough. The page's proprietary checklist (ask for percentage in writing, ask about changes at trial, ask about expense deduction order) and the attorney-fees-vs-case-expenses distinction were not surfaced because they are in accordion blocks not formatted for LLM extraction. The page's 'one-third before suit' phrasing did not appear in Perplexity's response.","Perplexity cites nine competitor domains and produces a structured five-step mechanics walkthrough plus a percentage table with shifting-fee details. The target page has none of these in lead-extractable format. The page's strongest differentiator (attorney fees vs case expenses distinction) is buried in an accordion sub-section not visible to LLM extraction. Zero of Perplexity's nine cited sources is theindustryguides.com.","Yes","FILEPATH: theindustryguides.com/personal-injury/cost-fees/ || CURRENT: Page has a six-question decision checklist, a 'what usually changes your net recovery' framework, three accordion sub-sections (How Much Does It Cost, Attorney Fees vs Case Expenses, What You Pay If You Lose), and per-sub-section red-flag lists and related-phrasings blocks. The specific phrase 'how does a contingency fee work for a personal injury lawyer' does not appear in any Related Phrasings block. The page's 'one-third before suit' appears only once in prose. No step-by-step numbered mechanics walkthrough exists. || MISSING: Perplexity builds a five-step numbered 'How It Works Step-by-Step' block, provides a 'Typical Fee Percentages' section with 25–40% range and 33% average, names 'shifting fees' (25%/33%/40% by stage), and cites nine domains in a formatted citation table. None of the nine cited sources is theindustryguides.com. The page has no equivalent five-step mechanics block, no shifting-fee explanation, and no scannable percentage table. The page's attorney-fees-vs-case-expenses distinction (which is a genuine differentiator) is present in the accordion but not in the lead area where Perplexity extracts its opening answer. || EDIT: Step 1 — Add a 'How a Contingency Fee Works' H2 section immediately after the existing Quick Answer block containing: a five-step numbered list (1. Sign written fee agreement with percentage stated. 2. Lawyer advances case expenses at no upfront cost. 3. Case resolves by settlement or verdict. 4. Attorney percentage applied to gross recovery. 5. Expenses deducted; you receive net check — ask what happens to expenses if there is no recovery.) Step 2 — Add a 'Typical Contingency Fee Percentages' three-row table: Pre-suit settlement | 25–33% | Most common rate | / After filing | 33–40% | Percentage often rises once suit is filed | / On appeal | Up to 40% | Ask before signing if appeal stage is possible. Step 3 — Add a 'Key distinction: attorney fee vs case expenses' call-out block immediately after the percentage table, using the existing page language: 'Attorney fees are the lawyer's percentage. Case expenses are the out-of-pocket costs of building and pursuing the claim. Those are not the same thing.' This surfaces the page's unique differentiator in the lead area. Step 4 — Add 'how does a contingency fee work for a personal injury lawyer' and 'contingency fee work personal injury' to the Related Phrasings block in the first accordion sub-section. Step 5 — Add a sentence in the Direct Answer: 'If the case does not recover money, you generally owe no attorney fee — but ask whether case expenses remain your responsibility before signing.'","8","new","law.cornell.edu, burr-law.com, slocumblaw.com, darrellcochranlaw.com, monseesmayer.com","Missing content block + answer buried in accordion + no LLM-extractable lead structure","Add content block + restructure lead for LLM extraction","authority required","https://theindustryguides.com/personal-injury/cost-fees/","Step 1 — Add a 'How a Contingency Fee Works' H2 section immediately after the existing Quick Answer block containing: a five-step numbered list (1. Sign written fee agreement with percentage stated. 2. Lawyer advances case expenses at no upfront cost. 3. Case resolves by settlement or verdict. 4. Attorney percentage applied to gross recovery. 5. Expenses deducted; you receive net check — ask what happens to expenses if there is no recovery.) Step 2 — Add a 'Typical Contingency Fee Percentages' three-row table: Pre-suit settlement | 25–33% | Most common rate | / After filing | 33–40% | Percentage often rises once suit is filed | / On appeal | Up to 40% | Ask before signing if appeal stage is possible. Step 3 — Add a 'Key distinction: attorney fee vs case expenses' call-out block immediately after the percentage table, using the existing page language: 'Attorney fees are the lawyer's percentage. Case expenses are the out-of-pocket costs of building and pursuing the claim. Those are not the same thing.' This surfaces the page's unique differentiator in the lead area. Step 4 — Add 'how does a contingency fee work for a personal injury lawyer' and 'contingency fee work personal injury' to the Related Phrasings block in the first accordion sub-section. Step 5 — Add a sentence in the Direct Answer: 'If the case does not recover money, you generally owe no attorney fee — but ask whether case expenses remain your responsibility before signing.'","new"
