Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week,Notes
"how do I choose the right neuropsych evaluation path","https://theindustryguides.com/insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","theindustryguides.com","OpenAI GPT-4o","2026-08-06","","Ten-step provider-and-process selection checklist","N","Y","The response gives a usable end-to-end selection checklist, while the page promises provider comparison but contains placeholder steps and does not operationalize the user’s choice among scope, specialty, logistics, report utility, and follow-up.","Y","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: A templated four-question framework and comparison table with placeholder verification points and no usable routing criteria. || MISSING: A concrete decision path that separates the reason for testing, needed outcome, age/specialty fit, provider credentials, coverage/cost, report requirements, and follow-up. || EDIT: Replace the placeholder framework immediately below the direct answer with a four-step chooser: define the referral question; match evaluation scope to the question; verify provider/setting fit; confirm deliverables, price, timing, and follow-up. Add a side-by-side table with columns for use case, appropriate evaluation scope, provider experience to verify, records to bring, report/accommodation needs, and booking questions. Add a short final booking checklist before related links.","3","new","","weak incumbent","completeness","page fix","insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: A templated four-question framework and comparison table with placeholder verification points and no usable routing criteria. || MISSING: A concrete decision path that separates the reason for testing, needed outcome, age/specialty fit, provider credentials, coverage/cost, report requirements, and follow-up. || EDIT: Replace the placeholder framework immediately below the direct answer with a four-step chooser: define the referral question; match evaluation scope to the question; verify provider/setting fit; confirm deliverables, price, timing, and follow-up. Add a side-by-side table with columns for use case, appropriate evaluation scope, provider experience to verify, records to bring, report/accommodation needs, and booking questions. Add a short final booking checklist before related links.","new",""
"how do I choose the right neuropsych evaluation path","https://theindustryguides.com/insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","theindustryguides.com","Perplexity","2026-08-06","","Direct triage rule followed by diagnostic-path questions","N","Y","The response offers a strong, concise routing distinction based on the main question, type of concern, and desired use of results. The target page does not presently provide this essential scope comparison or an intake-based routing worksheet.","Y","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: The page refers generally to a four-question choice framework and side-by-side verification, but the visible body uses placeholders rather than a true evaluation-scope router. || MISSING: Clear differentiation among neuropsychological, psychological, and psychoeducational/academic assessment; a guardrail that scope is determined by the referral question and intended use of the report. || EDIT: Add a section directly after the direct answer titled ""Choose the scope before choosing a provider."" Include a concise comparison table for neuropsychological evaluation, psychological evaluation, and psychoeducational/academic testing, specifying the question each can address, when a broader evaluation may be appropriate, and what to ask the provider. Follow with an intake worksheet covering symptoms/timeline, medical and school history, prior records, diagnosis versus accommodations versus treatment planning, and age-specific expertise. Avoid presenting any path as a diagnosis guarantee.","3","new","","strong incumbent","completeness","outperform","insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: The page refers generally to a four-question choice framework and side-by-side verification, but the visible body uses placeholders rather than a true evaluation-scope router. || MISSING: Clear differentiation among neuropsychological, psychological, and psychoeducational/academic assessment; a guardrail that scope is determined by the referral question and intended use of the report. || EDIT: Add a section directly after the direct answer titled ""Choose the scope before choosing a provider."" Include a concise comparison table for neuropsychological evaluation, psychological evaluation, and psychoeducational/academic testing, specifying the question each can address, when a broader evaluation may be appropriate, and what to ask the provider. Follow with an intake worksheet covering symptoms/timeline, medical and school history, prior records, diagnosis versus accommodations versus treatment planning, and age-specific expertise. Avoid presenting any path as a diagnosis guarantee.","new",""
"how do I choose the right neuropsych evaluation path","https://theindustryguides.com/insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-06","","Detailed goal-based pathway guide organized by setting and payer route","N","Y","The response gives users a concrete route based on purpose, setting, payment path, age, and downstream use. The page lacks this decision-grade comparison and therefore cannot yet answer high-stakes school, medical, workplace, or legal routing questions.","Y","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: A generic decision-path page with an incomplete condition-to-evaluation table and placeholder verification points. || MISSING: A practical, goal-first comparison of medical, developmental/academic, psychiatric, and legal use cases, plus setting-specific tradeoffs and cautions about report acceptance. || EDIT: Expand the comparison table into a ""Start with the purpose"" matrix: medical cognitive change/injury, developmental or school concerns, adult workplace needs, diagnostic clarification, and legal/forensic needs. For each, state the evaluation question, appropriate provider/setting, documentation to verify before booking, whether an independent evaluation may be needed, and the report features to confirm. Add a caution callout that school, insurer, employer, and legal decision-makers may have distinct documentation rules and users should obtain requirements in writing before booking. Do not use fixed wait-time, coverage, cost, or diagnostic claims without support.","3","new","","strong incumbent","completeness","outperform","insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","FILEPATH: /insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html || CURRENT: A generic decision-path page with an incomplete condition-to-evaluation table and placeholder verification points. || MISSING: A practical, goal-first comparison of medical, developmental/academic, psychiatric, and legal use cases, plus setting-specific tradeoffs and cautions about report acceptance. || EDIT: Expand the comparison table into a ""Start with the purpose"" matrix: medical cognitive change/injury, developmental or school concerns, adult workplace needs, diagnostic clarification, and legal/forensic needs. For each, state the evaluation question, appropriate provider/setting, documentation to verify before booking, whether an independent evaluation may be needed, and the report features to confirm. Add a caution callout that school, insurer, employer, and legal decision-makers may have distinct documentation rules and users should obtain requirements in writing before booking. Do not use fixed wait-time, coverage, cost, or diagnostic claims without support.","new",""
"what to expect during a neuropsychological evaluation session by session","https://theindustryguides.com/insights/neuro-003-session-by-session-walkthrough-what-to-expect.html","theindustryguides.com","OpenAI GPT-4o","2026-08-06","","Stage-by-stage overview from intake through follow-up","N","Y","The response delivers the basic session sequence and test-domain explanation the query seeks. The page has the relevant title and a timeline-table shell but no substantive walkthrough of actual sessions.","Y","FILEPATH: /insights/neuro-003-session-by-session-walkthrough-what-to-expect.html || CURRENT: An Evidence-to-Action framework and timeline table whose rows are placeholders rather than a session-by-session walkthrough. || MISSING: Plain-language descriptions of intake, testing, feedback, and possible follow-up, including what the patient does, what the clinician does, and what to prepare or ask at each stage. || EDIT: Replace the placeholder timeline rows with four rows: intake/interview, testing appointment(s), scoring/record review, and feedback/results. Use columns for ""what happens,"" ""what you may be asked to do,"" ""what to bring or prepare,"" and ""questions to ask."" Add a brief note immediately below the table that the number, order, and duration of appointments vary by referral question, age, health needs, and provider workflow.","3","new","","weak incumbent","completeness","page fix","insights/neuro-003-session-by-session-walkthrough-what-to-expect.html","FILEPATH: /insights/neuro-003-session-by-session-walkthrough-what-to-expect.html || CURRENT: An Evidence-to-Action framework and timeline table whose rows are placeholders rather than a session-by-session walkthrough. || MISSING: Plain-language descriptions of intake, testing, feedback, and possible follow-up, including what the patient does, what the clinician does, and what to prepare or ask at each stage. || EDIT: Replace the placeholder timeline rows with four rows: intake/interview, testing appointment(s), scoring/record review, and feedback/results. Use columns for ""what happens,"" ""what you may be asked to do,"" ""what to bring or prepare,"" and ""questions to ask."" Add a brief note immediately below the table that the number, order, and duration of appointments vary by referral question, age, health needs, and provider workflow.","new",""
"what to expect during a neuropsychological evaluation session by session","https://theindustryguides.com/insights/neuro-003-session-by-session-walkthrough-what-to-expect.html","theindustryguides.com","Perplexity","2026-08-06","","Concise three-part timeline with appointment-level expectations and preparation offer","N","Y","The response is a highly scannable, practical appointment timeline and includes concrete testing formats, possible breaks, interpretation, and feedback. The page’s existing framework is not yet capable of answering those operational questions.","Y","FILEPATH: /insights/neuro-003-session-by-session-walkthrough-what-to-expect.html || CURRENT: The page says it will provide a session-by-session walkthrough, but its timeline table contains generic placeholder text and does not state what occurs at intake, testing, interpretation, or feedback. || MISSING: A skimmable appointment timeline that explains patient activities, allowed breaks, record review and interpretation after testing, feedback deliverables, variability in scheduling, and questions to ask before booking. || EDIT: Insert a ""Your evaluation timeline"" section after the direct answer. Add four detailed timeline cards for intake, testing, scoring/interpretation, and feedback; each card should list what happens, what the user should bring or do, what can vary, and one verification question for the office. Add a pre-appointment checklist covering sleep, meals, medications only as instructed by the treating clinician, corrective lenses/hearing aids if used, and relevant records. End with a results checklist: report delivery method, feedback appointment, recommendations, and permission to ask follow-up questions.","3","new","","strong incumbent","completeness","outperform","insights/neuro-003-session-by-session-walkthrough-what-to-expect.html","FILEPATH: /insights/neuro-003-session-by-session-walkthrough-what-to-expect.html || CURRENT: The page says it will provide a session-by-session walkthrough, but its timeline table contains generic placeholder text and does not state what occurs at intake, testing, interpretation, or feedback. || MISSING: A skimmable appointment timeline that explains patient activities, allowed breaks, record review and interpretation after testing, feedback deliverables, variability in scheduling, and questions to ask before booking. || EDIT: Insert a ""Your evaluation timeline"" section after the direct answer. Add four detailed timeline cards for intake, testing, scoring/interpretation, and feedback; each card should list what happens, what the user should bring or do, what can vary, and one verification question for the office. Add a pre-appointment checklist covering sleep, meals, medications only as instructed by the treating clinician, corrective lenses/hearing aids if used, and relevant records. End with a results checklist: report delivery method, feedback appointment, recommendations, and permission to ask follow-up questions.","new",""
"what to expect during a neuropsychological evaluation session by session","https://theindustryguides.com/insights/neuro-003-session-by-session-walkthrough-what-to-expect.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-06","","Detailed chronological walkthrough: pre-visit preparation, intake, testing, scoring/report phase, and feedback session.","N","N","The incumbent provides the practical chronology the target page promises, while the page's rendered content is mostly a generic framework and placeholder table rather than an actual walkthrough.","Y","FILEPATH: /insights/neuro-003-session-by-session-walkthrough-what-to-expect.html || CURRENT: A generic Evidence-to-Action framework and a largely placeholder timeline table; it does not actually walk readers through intake, testing, scoring, and feedback. || MISSING: A concrete session-by-session description, participant roles, preparation steps, realistic variability, and questions to confirm with the provider. || EDIT: Replace the acceptance-block placeholder table immediately after the direct answer with a chronological table for before the visit, intake, testing day(s), scoring/report writing, and feedback. For each row include what happens, who may be present, what to bring or do, and one provider-verification question. Add a short callout that session number, duration, test domains, and report timing vary by referral question, age, fatigue, records, and clinic workflow.","1","new","","strong incumbent","completeness","outperform","insights/neuro-003-session-by-session-walkthrough-what-to-expect.html","FILEPATH: /insights/neuro-003-session-by-session-walkthrough-what-to-expect.html || CURRENT: A generic Evidence-to-Action framework and a largely placeholder timeline table; it does not actually walk readers through intake, testing, scoring, and feedback. || MISSING: A concrete session-by-session description, participant roles, preparation steps, realistic variability, and questions to confirm with the provider. || EDIT: Replace the acceptance-block placeholder table immediately after the direct answer with a chronological table for before the visit, intake, testing day(s), scoring/report writing, and feedback. For each row include what happens, who may be present, what to bring or do, and one provider-verification question. Add a short callout that session number, duration, test domains, and report timing vary by referral question, age, fatigue, records, and clinic workflow.","new",""
"how to compare local neuropsych evaluation options using a decision checklist","https://theindustryguides.com/insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","theindustryguides.com","OpenAI GPT-4o","2026-08-06","","Ten-category local-provider comparison checklist followed by a recommendation to compare options side by side.","N","Y","The incumbent supplies a clear, usable checklist across credentials, fit, process, logistics, cost, report quality, and support; the target page does not yet provide enough concrete comparison fields to function as a real decision checklist.","Y","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: The page says to use the same verification questions and has repeated, partially generic comparison-table rows. || MISSING: A usable side-by-side checklist with concrete questions for scope, credentials, age/condition fit, deliverables, timing, cost, insurance, access, and communication. || EDIT: Replace the duplicated acceptance tables with one printable comparison matrix for 2–3 providers. Add columns for Factor, exact question to ask, Provider A/B/C answer, and decision note. Put scope and referral-question fit, who evaluates/interprets, records/collateral, report/feedback deliverables, turnaround, total price and insurance verification, and accessibility ahead of softer factors such as reviews or comfort.","3","new","","strong incumbent","completeness","outperform","insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: The page says to use the same verification questions and has repeated, partially generic comparison-table rows. || MISSING: A usable side-by-side checklist with concrete questions for scope, credentials, age/condition fit, deliverables, timing, cost, insurance, access, and communication. || EDIT: Replace the duplicated acceptance tables with one printable comparison matrix for 2–3 providers. Add columns for Factor, exact question to ask, Provider A/B/C answer, and decision note. Put scope and referral-question fit, who evaluates/interprets, records/collateral, report/feedback deliverables, turnaround, total price and insurance verification, and accessibility ahead of softer factors such as reviews or comfort.","new",""
"how to compare local neuropsych evaluation options using a decision checklist","https://theindustryguides.com/insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","theindustryguides.com","Perplexity","2026-08-06","","Concise decision checklist focused on referral question, scope, credentials, report use, included services, turnaround, cost, age fit, and collateral information.","N","Y","The incumbent is concise, highly actionable, and backed by numerous external citations. It covers several decision-critical factors absent from the page's rendered table, especially scope, evaluator roles, included services, collateral, and intended report use.","Y","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: The page has a useful principle—ask the same concrete questions of each provider—but its rendered comparison table is repetitive and provides few substantive criteria or evidence support. || MISSING: A source-supported checklist that operationalizes comparison of referral fit, comprehensive versus focused scope, evaluator roles, report usability, included services, turnaround, price, age specialization, and collateral records. || EDIT: Build a one-page comparison scorecard directly below the direct answer, using the incumbent's decision dimensions as rows. For every row include a specific written-answer prompt, a blank answer field for each provider, and a note explaining the decision consequence. Add reviewed primary-source citations or editorial sourcing for claims about assessment scope, provider roles, records, coverage, and report use; avoid unsupported universal timelines or price claims.","3","new","","strong incumbent","authority","authority required","insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: The page has a useful principle—ask the same concrete questions of each provider—but its rendered comparison table is repetitive and provides few substantive criteria or evidence support. || MISSING: A source-supported checklist that operationalizes comparison of referral fit, comprehensive versus focused scope, evaluator roles, report usability, included services, turnaround, price, age specialization, and collateral records. || EDIT: Build a one-page comparison scorecard directly below the direct answer, using the incumbent's decision dimensions as rows. For every row include a specific written-answer prompt, a blank answer field for each provider, and a note explaining the decision consequence. Add reviewed primary-source citations or editorial sourcing for claims about assessment scope, provider roles, records, coverage, and report use; avoid unsupported universal timelines or price claims.","new",""
"how to compare local neuropsych evaluation options using a decision checklist","https://theindustryguides.com/insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-06","","Long, weighted provider-selection checklist with phases, rating criteria, and a partially shown comparison matrix.","N","Y","The incumbent offers a genuinely operational scoring workflow and covers practical logistics and deliverables in far more depth than the page's repeated generic table. Some of its hard cost and turnaround claims should not be copied without sourcing, but its matrix format is a major usability advantage.","Y","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: The rendered page offers generic advice about consistent questions, but repeats placeholder comparison rows and lacks an actual scoring tool. || MISSING: A complete, editable matrix that lets readers compare provider fit, availability, costs, process, feedback, and report deliverables without relying on broad ranking claims. || EDIT: Add a compact weighted decision matrix after the current direct answer. Include rows for specialty/age fit, referral-question scope, licensing and relevant credentials, intake/testing/feedback workflow, who administers and signs, wait time, report turnaround, total estimate and insurance steps, accessibility, accommodations/letters, and collaboration. Give each row an optional 1–3 score and a notes field. Phrase timing and cost items as questions to verify rather than fixed norms, and add a short warning that a faster or cheaper option is not automatically the appropriate scope.","3","new","","strong incumbent","completeness","outperform","insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html","FILEPATH: /insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: The rendered page offers generic advice about consistent questions, but repeats placeholder comparison rows and lacks an actual scoring tool. || MISSING: A complete, editable matrix that lets readers compare provider fit, availability, costs, process, feedback, and report deliverables without relying on broad ranking claims. || EDIT: Add a compact weighted decision matrix after the current direct answer. Include rows for specialty/age fit, referral-question scope, licensing and relevant credentials, intake/testing/feedback workflow, who administers and signs, wait time, report turnaround, total estimate and insurance steps, accessibility, accommodations/letters, and collaboration. Give each row an optional 1–3 score and a notes field. Phrase timing and cost items as questions to verify rather than fixed norms, and add a short warning that a faster or cheaper option is not automatically the appropriate scope.","new",""
"what to look for in a neuropsych evaluation report","https://theindustryguides.com/insights/neuro-011-neuropsych-report-what-you-get.html","theindustryguides.com","OpenAI GPT-4o","2026-08-06","","Numbered list of standard neuropsych-report sections and a brief prompt to discuss questions with the evaluator.","N","Y","The incumbent clearly lists core report components, but it remains generic and does not help readers verify report usability, feedback, turnaround, or next steps. The page can win with a more decision-oriented checklist rather than merely matching the outline.","Y","FILEPATH: /insights/neuro-011-neuropsych-report-what-you-get.html || CURRENT: The page names a sample outline—referral question, background, testing, results, impressions, and recommendations—and says to seek clear timeline and deliverables. || MISSING: A reader-facing checklist explaining what each report section should answer, how to judge whether recommendations are usable, whether feedback and follow-up are included, and what to clarify when material is missing or unclear. || EDIT: Expand the direct-answer section into a 'What a usable report should contain' checklist. Retain referral question, background, testing, results, impressions, and recommendations; for each, add why it matters and a question to ask the evaluator. Add separate rows for behavioral observations, diagnostic rationale where applicable, functional impact, accommodation-ready recommendations when relevant, feedback session, report delivery timeline, corrections, and permitted follow-up questions. Place a short boundary note that report format and included data vary by provider and purpose.","3","new","","medium incumbent","clarity","page fix","insights/neuro-011-neuropsych-report-what-you-get.html","FILEPATH: /insights/neuro-011-neuropsych-report-what-you-get.html || CURRENT: The page names a sample outline—referral question, background, testing, results, impressions, and recommendations—and says to seek clear timeline and deliverables. || MISSING: A reader-facing checklist explaining what each report section should answer, how to judge whether recommendations are usable, whether feedback and follow-up are included, and what to clarify when material is missing or unclear. || EDIT: Expand the direct-answer section into a 'What a usable report should contain' checklist. Retain referral question, background, testing, results, impressions, and recommendations; for each, add why it matters and a question to ask the evaluator. Add separate rows for behavioral observations, diagnostic rationale where applicable, functional impact, accommodation-ready recommendations when relevant, feedback session, report delivery timeline, corrections, and permitted follow-up questions. Place a short boundary note that report format and included data vary by provider and purpose.","new",""
