"Query","Intended Winner Page","Surface","Model","Date","Cited Sources","Answer Shape","Reused My Phrasing (Y/N)","Used My Logic (Y/N)","Gap Found","Patch Needed (Y/N)","Fix Recommendation","Progress Level (1-4)","Week-over-Week Change","Competitor Authority Signals","Gap Type","Primary Fix Type","Action Tier","Repo File Path","Edit Instruction","Week Over Week"
"can i go to my regular family doctor for the uscis medical exam","https://theindustryguides.com/uscis-medical/","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","direct answer with qualification and next step","Y","Y","The page strongly covers who performs the exam, but it needs an explicit regular-doctor comparison and supporting citation.","Y","FILEPATH: uscis-medical/index.html || CURRENT: ""USCIS Medical Exam & Civil Surgeon 5-Step Framework""; ""Direct answer"" || MISSING: The page gives the civil-surgeon rule but does not explicitly contrast a regular family doctor or provide a supporting inline citation || EDIT: Add an H2 ""Can I use my regular family doctor?"" with a direct no-unless-designated answer, explain that only a USCIS-designated civil surgeon can complete Form I-693, and link the authorization claim to https://theindustryguides.com/insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized","3","L3→L3 → vs. 2026-09-18 (7d ago)","uscis.gov","strong incumbent","clarity","free win","uscis-medical/index.html","FILEPATH: uscis-medical/index.html || CURRENT: ""USCIS Medical Exam & Civil Surgeon 5-Step Framework""; ""Direct answer"" || MISSING: The page gives the civil-surgeon rule but does not explicitly contrast a regular family doctor or provide a supporting inline citation || EDIT: Add an H2 ""Can I use my regular family doctor?"" with a direct no-unless-designated answer, explain that only a USCIS-designated civil surgeon can complete Form I-693, and link the authorization claim to https://theindustryguides.com/insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized","L3→L3 → vs. 2026-09-18 (7d ago)"
"do i need to fast before the immigration blood test","https://theindustryguides.com/insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","conditional guidance with a confirmation step","Y","N","The page matches the bloodwork topic but its visible answer is generic and does not address fasting or test-specific preparation.","Y","FILEPATH: insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam.html || CURRENT: ""What Bloodwork Is Usually Part Of The Immigration Medical Exam?""; ""Direct answer""; ""What this page recommends"" || MISSING: The page does not answer whether fasting is required, distinguish required immigration testing from optional tests, or explain what preparation the clinic may require || EDIT: Add an H2 ""Do I need to fast before the immigration blood test?"" with a cautious answer that required immigration bloodwork usually does not require fasting, optional glucose or lipid testing may differ, and the patient should confirm instructions with the clinic; support the guidance with https://theindustryguides.com/uscis-medical/community-questions/do-i-need-to-fast-before-the-immigration-blood-test/","2","L3→L2 ↓ vs. 2026-09-18 (7d ago)","immigration-medical-exam.com","weak incumbent","completeness","page fix","insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam.html","FILEPATH: insights/uscis-medical-vaccines-labs-004-what-bloodwork-is-usually-part-of-the-immigration-medical-exam.html || CURRENT: ""What Bloodwork Is Usually Part Of The Immigration Medical Exam?""; ""Direct answer""; ""What this page recommends"" || MISSING: The page does not answer whether fasting is required, distinguish required immigration testing from optional tests, or explain what preparation the clinic may require || EDIT: Add an H2 ""Do I need to fast before the immigration blood test?"" with a cautious answer that required immigration bloodwork usually does not require fasting, optional glucose or lipid testing may differ, and the patient should confirm instructions with the clinic; support the guidance with https://theindustryguides.com/uscis-medical/community-questions/do-i-need-to-fast-before-the-immigration-blood-test/","L3→L2 ↓ vs. 2026-09-18 (7d ago)"
"does health insurance cover the immigration medical exam","https://theindustryguides.com/insights/uscis-medical-cost-009-can-insurance-cover-any-part","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","direct answer with cost caveats and verification advice","Y","N","The page has an exact insurance-related title but lacks the concrete coverage answer and component-by-component cost guidance in the response.","Y","FILEPATH: insights/uscis-medical-cost-009-can-insurance-cover-any-part.html || CURRENT: ""Can insurance cover any part?""; ""Direct answer""; ""What this page recommends"" || MISSING: The page does not state the typical coverage position or separate the exam fee from possible lab, vaccine, and TB-testing charges || EDIT: Add an H2 ""Does health insurance cover the immigration medical exam?"" stating that coverage for the immigration-specific exam should not be assumed, explaining that labs and vaccines may be billed separately, and directing readers to confirm benefits with the insurer and obtain a written clinic quote; cite https://theindustryguides.com/insights/uscis-medical-cost-009-can-insurance-cover-any-part","2","L3→L2 ↓ vs. 2026-09-18 (7d ago)","uscis.gov","weak incumbent","completeness","page fix","insights/uscis-medical-cost-009-can-insurance-cover-any-part.html","FILEPATH: insights/uscis-medical-cost-009-can-insurance-cover-any-part.html || CURRENT: ""Can insurance cover any part?""; ""Direct answer""; ""What this page recommends"" || MISSING: The page does not state the typical coverage position or separate the exam fee from possible lab, vaccine, and TB-testing charges || EDIT: Add an H2 ""Does health insurance cover the immigration medical exam?"" stating that coverage for the immigration-specific exam should not be assumed, explaining that labs and vaccines may be billed separately, and directing readers to confirm benefits with the insurer and obtain a written clinic quote; cite https://theindustryguides.com/insights/uscis-medical-cost-009-can-insurance-cover-any-part","L3→L2 ↓ vs. 2026-09-18 (7d ago)"
"how long is the I-693 medical exam valid for green card application","https://theindustryguides.com/insights/uscis-medical-008-how-long-is-the-medical-exam-valid","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","time-limited rule summary with a policy caveat","Y","N","The page targets validity directly but does not show the current post-2025 rule, while the response presents an outdated or unverified two-year/60-day framework for 2026.","Y","FILEPATH: insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html || CURRENT: ""How long is the medical exam valid?""; ""Direct answer""; ""What this page recommends"" || MISSING: A current post-2025 I-693 validity rule, a clear date-based distinction, and a supporting citation; the two-year/60-day answer is unsafe for 2026 || EDIT: Replace the unqualified two-year/60-day language with a dated explanation of the current rule, add a short pre- and post-change timeline explaining which signature or filing dates control, and link the update to https://theindustryguides.com/insights/uscis-medical-timeline-validity-005-current-i-693-validity-rule-after-the-2025-uscis-update","2","L3→L2 ↓ vs. 2026-09-18 (7d ago)","uscis.gov","medium incumbent","authority","authority required","insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html","FILEPATH: insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html || CURRENT: ""How long is the medical exam valid?""; ""Direct answer""; ""What this page recommends"" || MISSING: A current post-2025 I-693 validity rule, a clear date-based distinction, and a supporting citation; the two-year/60-day answer is unsafe for 2026 || EDIT: Replace the unqualified two-year/60-day language with a dated explanation of the current rule, add a short pre- and post-change timeline explaining which signature or filing dates control, and link the update to https://theindustryguides.com/insights/uscis-medical-timeline-validity-005-current-i-693-validity-rule-after-the-2025-uscis-update","L3→L2 ↓ vs. 2026-09-18 (7d ago)"
"how much does the i-693 medical exam cost in 2026","https://theindustryguides.com/insights/uscis-medical-009-how-much-does-the-exam-cost","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","cautious non-answer with a broad price range","N","N","The page does not answer the 2026 price question with current evidence, cost components, or actionable quote-comparison guidance.","Y","FILEPATH: insights/uscis-medical-009-how-much-does-the-exam-cost.html || CURRENT: Official uscis-medical local guide routing; What this page recommends; Related search intents; Related decision paths people also use || MISSING: A dated 2026 cost answer with a qualified price framework, cost components, and a practical clinic-quote comparison method || EDIT: Add a top cost-answer section, explain that clinics set prices, show a clearly labeled current range only when supported by page evidence, separate exam, lab, vaccine, and insurance costs, and add a written-quote checklist.","1","L3→L1 ↓ vs. 2026-09-18 (7d ago)","uscis.gov","weak incumbent","completeness","page fix","insights/uscis-medical-009-how-much-does-the-exam-cost.html","FILEPATH: insights/uscis-medical-009-how-much-does-the-exam-cost.html || CURRENT: Official uscis-medical local guide routing; What this page recommends; Related search intents; Related decision paths people also use || MISSING: A dated 2026 cost answer with a qualified price framework, cost components, and a practical clinic-quote comparison method || EDIT: Add a top cost-answer section, explain that clinics set prices, show a clearly labeled current range only when supported by page evidence, separate exam, lab, vaccine, and insurance costs, and add a written-quote checklist.","L3→L1 ↓ vs. 2026-09-18 (7d ago)"
"how to avoid RFE delays after submitting I-693 medical exam","https://theindustryguides.com/uscis-medical/delays-rfe/","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","numbered preventative checklist","N","Y","The page has a relevant checklist foundation but lacks a complete post-submission workflow, current validity guidance, and specific responses to common RFE causes.","Y","FILEPATH: uscis-medical/delays-rfe/index.html || CURRENT: Official local guides; Provider next step; USCIS: Delays & RFEs || MISSING: A complete, current workflow separating pre-submission checks, post-submission monitoring, RFE response steps, and clinic-error corrections || EDIT: Add H2 sections for Before submitting Form I-693, After submission, If USCIS sends an RFE, and Clinic-error checklist; remove or date-check the 60-day claim and cover signatures, seals, form version, vaccine records, lab results, deadlines, and escalation steps.","3","L3→L3 → vs. 2026-09-18 (7d ago)","uscis.gov","medium incumbent","completeness","outperform","uscis-medical/delays-rfe/index.html","FILEPATH: uscis-medical/delays-rfe/index.html || CURRENT: Official local guides; Provider next step; USCIS: Delays & RFEs || MISSING: A complete, current workflow separating pre-submission checks, post-submission monitoring, RFE response steps, and clinic-error corrections || EDIT: Add H2 sections for Before submitting Form I-693, After submission, If USCIS sends an RFE, and Clinic-error checklist; remove or date-check the 60-day claim and cover signatures, seals, form version, vaccine records, lab results, deadlines, and escalation steps.","L3→L3 → vs. 2026-09-18 (7d ago)"
"how to get the sealed I-693 medical exam envelope safely","https://theindustryguides.com/insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","step-by-step procedural checklist","N","N","The page's visible content provides no practical sealed-envelope workflow, seal-damage contingency, or filing-handoff instructions.","Y","FILEPATH: insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html || CURRENT: Official uscis-medical local guide routing; How do I get the sealed envelope safely?; What this page recommends; Related search intents; Related decision paths people also use || MISSING: Concrete custody instructions covering seal verification, handling, filing or delivery, and what to do if the packet is opened or damaged || EDIT: Add H2 sections for Before leaving the clinic, Keep the packet sealed, If the seal is damaged or opened, and Delivery and filing handoff; include a receipt or copy checklist and a correction path without encouraging the user to open the packet.","1","L3→L1 ↓ vs. 2026-09-18 (7d ago)","uscis.gov","weak incumbent","completeness","page fix","insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html","FILEPATH: insights/uscis-medical-016-how-to-get-the-sealed-envelope-safely.html || CURRENT: Official uscis-medical local guide routing; How do I get the sealed envelope safely?; What this page recommends; Related search intents; Related decision paths people also use || MISSING: Concrete custody instructions covering seal verification, handling, filing or delivery, and what to do if the packet is opened or damaged || EDIT: Add H2 sections for Before leaving the clinic, Keep the packet sealed, If the seal is damaged or opened, and Delivery and filing handoff; include a receipt or copy checklist and a correction path without encouraging the user to open the packet.","L3→L1 ↓ vs. 2026-09-18 (7d ago)"
"how to verify a civil surgeon is authorized by USCIS","https://theindustryguides.com/insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","numbered verification workflow","N","N","The page states that authorization should be verified but does not show a complete, authoritative process for confirming the doctor, clinic, signing authority, or red flags.","Y","FILEPATH: insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized.html || CURRENT: Official uscis-medical local guide routing; How do I verify a doctor is authorized?; What this page recommends; Related search intents; Related decision paths people also use || MISSING: An authoritative verification workflow covering the doctor listing, clinic confirmation, Form I-693 signing authority, identity matching, and red flags || EDIT: Add H2 sections for Verify the listing, Confirm the doctor before booking, Questions to ask the clinic, and Red flags; require confirmation that the named physician will sign Form I-693 and provide a clear internal evidence path rather than relying on vague authority claims.","3","L3→L3 → vs. 2026-09-18 (7d ago)","uscis.gov","weak incumbent","authority","page fix","insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized.html","FILEPATH: insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized.html || CURRENT: Official uscis-medical local guide routing; How do I verify a doctor is authorized?; What this page recommends; Related search intents; Related decision paths people also use || MISSING: An authoritative verification workflow covering the doctor listing, clinic confirmation, Form I-693 signing authority, identity matching, and red flags || EDIT: Add H2 sections for Verify the listing, Confirm the doctor before booking, Questions to ask the clinic, and Red flags; require confirmation that the named physician will sign Form I-693 and provide a clear internal evidence path rather than relying on vague authority claims.","L3→L3 → vs. 2026-09-18 (7d ago)"
"list of items to bring to uscis medical exam appointment","https://theindustryguides.com/insights/uscis-medical-exam-day-documents-001-what-should-i-bring-to-the-immigration-medical-exam","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","Numbered checklist with nested bullets","N","N","The response supplies a useful checklist, but the page content shown is generic provider-routing copy and does not substantively answer the list query.","Y","FILEPATH: insights/uscis-medical-exam-day-documents-001-what-should-i-bring-to-the-immigration-medical-exam.html || CURRENT: Official uscis-medical local guide routing; What this page recommends; Related decision paths people also use || MISSING: A complete appointment checklist with required-versus-optional labels, vaccine and medical-record guidance, payment details, and final preparation steps || EDIT: Replace the generic comparison copy with H2s for Required identification and forms, Vaccine and medical records, Medications and special circumstances, Payment and clinic-specific items, and Final pre-appointment check; use a scannable checklist and tell readers which items must be confirmed with the clinic.","2","L3→L2 ↓ vs. 2026-09-18 (7d ago)","uscis.gov","weak incumbent","completeness","page fix","insights/uscis-medical-exam-day-documents-001-what-should-i-bring-to-the-immigration-medical-exam.html","FILEPATH: insights/uscis-medical-exam-day-documents-001-what-should-i-bring-to-the-immigration-medical-exam.html || CURRENT: Official uscis-medical local guide routing; What this page recommends; Related decision paths people also use || MISSING: A complete appointment checklist with required-versus-optional labels, vaccine and medical-record guidance, payment details, and final preparation steps || EDIT: Replace the generic comparison copy with H2s for Required identification and forms, Vaccine and medical records, Medications and special circumstances, Payment and clinic-specific items, and Final pre-appointment check; use a scannable checklist and tell readers which items must be confirmed with the clinic.","L3→L2 ↓ vs. 2026-09-18 (7d ago)"
"what are the requirements for the I-693 medical exam","https://theindustryguides.com/insights/uscis-medical-001-what-is-the-uscis-medical-exam-who-performs-it-and-when-is-it-used","theindustryguides.com","OpenAI GPT-4o","2026-09-25","","Numbered overview of I-693 requirements, truncated before completion","N","N","The response begins a requirements explanation, but it is incomplete and the page excerpt offers only broad topic routing rather than a complete I-693 requirements guide.","Y","FILEPATH: insights/uscis-medical-001-what-is-the-uscis-medical-exam-who-performs-it-and-when-is-it-used.html || CURRENT: Official uscis-medical local guide routing; What this page recommends; Related decision paths people also use || MISSING: A complete requirements framework covering who needs the exam, civil-surgeon authorization, documents, vaccines, TB and laboratory testing, special circumstances, form completion, sealing, and timing || EDIT: Replace the generic compare-options paragraph with H2s for Who needs the I-693 exam, Choosing an authorized civil surgeon, Documents and vaccination review, TB and laboratory testing, Special circumstances, and Completing and sealing Form I-693; add a concise before-booking checklist.","2","L3→L2 ↓ vs. 2026-09-18 (7d ago)","uscis.gov","weak incumbent","completeness","page fix","insights/uscis-medical-001-what-is-the-uscis-medical-exam-who-performs-it-and-when-is-it-used.html","FILEPATH: insights/uscis-medical-001-what-is-the-uscis-medical-exam-who-performs-it-and-when-is-it-used.html || CURRENT: Official uscis-medical local guide routing; What this page recommends; Related decision paths people also use || MISSING: A complete requirements framework covering who needs the exam, civil-surgeon authorization, documents, vaccines, TB and laboratory testing, special circumstances, form completion, sealing, and timing || EDIT: Replace the generic compare-options paragraph with H2s for Who needs the I-693 exam, Choosing an authorized civil surgeon, Documents and vaccination review, TB and laboratory testing, Special circumstances, and Completing and sealing Form I-693; add a concise before-booking checklist.","L3→L2 ↓ vs. 2026-09-18 (7d ago)"
