Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"child specialist for anxiety vs ADHD evaluation near me who should I see","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","theindustryguides.com","OpenAI GPT-4o","2026-08-27","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html | https://theindustryguides.com/insights/neuro-002-what-to-do-when-adhd-and-autism-symptoms-overlap.html | https://theindustryguides.com/insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html","medium incumbent","Y","Y","The page does not answer the user's central “who should I see?” question. It supplies provider-comparison logistics but no decision rule distinguishing pediatric, psychology/neuropsychology, and psychiatry pathways.","Y","Replace the generic local-routing copy with a direct triage answer and a verification checklist. The page needs authoritative clinical sourcing for specialist-scope claims before it can reliably compete with medically specific answers.","1","L1 = vs. 2026-08-20 (7d ago)","","medium incumbent","authority","authority required","insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","FILEPATH: /insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html || CURRENT: The “Direct answer” and “What this page recommends” sections only advise checking scheduling, pricing, and fit; the “Original Verification Table” does not explain which professional to choose. || MISSING: A concise, medically bounded specialist-selection path for a child whose anxiety and ADHD symptoms may overlap. || EDIT: Directly below “Direct answer,” add an H2, “Who should evaluate anxiety vs. ADHD in a child?” State that a pediatrician can be a practical starting point for referral and care coordination; a child psychologist or pediatric neuropsychologist may fit when diagnostic differentiation and a detailed assessment are needed; and a child psychiatrist may fit when medication evaluation is part of the question. Add a clearly labeled “Ask before booking” list: experience assessing both anxiety and ADHD, whether the evaluation considers school/developmental history, what report and feedback are included, wait time, and total estimate. Support clinical-scope statements with named primary medical sources before publishing, then retain internal links to the related decision-path pages.","L1 = vs. 2026-08-20 (7d ago)"
"child specialist for anxiety vs ADHD evaluation near me who should I see","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","theindustryguides.com","Perplexity","2026-08-27","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html | https://theindustryguides.com/insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html | https://theindustryguides.com/insights/neuro-013-how-to-compare-providers-fast.html","strong incumbent","Y","Y","The incumbent directly maps needs to provider types and acknowledges that an exact local recommendation requires location. The winner page only routes visitors away and lacks a clinician-selection framework.","Y","Make the answer decision-first, then use the existing comparison table as the booking screen. Add primary-source support rather than relying on unverified general medical guidance.","1","L1 = vs. 2026-08-20 (7d ago)","","strong incumbent","authority","authority required","insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","FILEPATH: /insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html || CURRENT: “Direct answer” says to check scheduling, pricing, and whether a provider handles the exact situation, while the table lists generic comparison factors. || MISSING: A plain-language recommendation of which type of clinician to seek when the question is anxiety versus ADHD, plus a way to narrow an unspecified location. || EDIT: Add an H2 immediately after “What this page recommends,” titled “Best first appointment when anxiety and ADHD may overlap.” Give a short conditional chooser: start with the child's established pediatric clinician for referral/coordination; seek a child mental-health clinician experienced with both concerns for diagnostic assessment; choose a provider offering a broader assessment when school, learning, developmental, or diagnostic-uncertainty questions are material; and confirm whether medication evaluation is available if that is a need. Add a “Near me” callout requesting city/ZIP, insurer, child age, and deadline, followed by the existing scheduling, price, report, and experience checks. Obtain and cite named primary clinical sources for every scope-of-practice statement.","L1 = vs. 2026-08-20 (7d ago)"
"child specialist for anxiety vs ADHD evaluation near me who should I see","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-27","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html | https://theindustryguides.com/insights/neuro-023-neuropsych-evaluation-for-adults-vs-kids.html | https://theindustryguides.com/insights/neuro-021-how-to-use-results-for-accommodations.html","strong incumbent","Y","Y","The incumbent gives a thorough, user-friendly specialist breakdown and links evaluation type to practical needs such as school support and medication. The page has only generic shopping criteria and cannot substantively answer the query.","Y","The page should outperform lengthy generic advice through a scannable goal-to-route table, while its clinical assertions require credible external primary-source citations.","1","L1 = vs. 2026-08-20 (7d ago)","","strong incumbent","authority","authority required","insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","FILEPATH: /insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html || CURRENT: The page contains “What this page cannot decide for you” and a generic provider-verification table, but no description of when a detailed child evaluation may be useful. || MISSING: A bounded explanation of how the choice changes when diagnostic uncertainty, developmental concerns, school impairment, or treatment/medication questions are driving the request. || EDIT: Insert an H2, “Choose the evaluation based on the decision you need to make,” before “Comparison table.” Include a four-row table: question/goal, possible starting clinician or evaluation route, what to verify, and what the resulting report may be used for. Use cautious wording such as “may be worth asking about,” not diagnostic promises. Include rows for diagnostic clarification, school/learning concerns, developmental complexity, and medication questions. End with the existing checklist for timeline, pricing, experience, report, and feedback. Verify and cite all medical claims using named primary sources.","L1 = vs. 2026-08-20 (7d ago)"
"how much does a neuropsychological evaluation cost out of pocket","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","theindustryguides.com","OpenAI GPT-4o","2026-08-27","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html | https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html","medium incumbent","Y","Y","The page does not provide a quick method for obtaining a provider-specific cash quote at the top, so a generic dollar-range response can appear more directly responsive even though its figures are unsupported in the winner content.","Y","The page already owns the more durable cost-estimation framework; surface it immediately and give the user a script. Avoid unsupported national price ranges unless sourced, dated, and scoped.","3","L1→L3 ↑ vs. 2026-08-20 (7d ago)","","medium incumbent","clarity","free win","insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","FILEPATH: /insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html || CURRENT: “Direct answer” correctly says total price varies and lists intake, testing, scoring, report writing, feedback, and documentation; the repeated “Neuropsych Evaluation Cost Components” tables provide questions but no answer-first request script. || MISSING: A concise, actionable out-of-pocket estimate request and a distinction between a quoted total and an insurer's estimated member responsibility. || EDIT: Under “Direct answer,” add an H2, “How to get a usable out-of-pocket number.” State: “Ask each practice for a written, itemized estimate for the complete evaluation—not only testing time.” Add a copy-and-send script requesting intake, testing, scoring, record review, report, feedback, forms/letters, deposits, cancellation fees, and the estimated total. Add a second bullet: if using insurance, ask the provider and plan to distinguish allowed amount, deductible/coinsurance, authorization, and out-of-network reimbursement. Remove the duplicate cost-components table or replace the second instance with this script.","L1→L3 ↑ vs. 2026-08-20 (7d ago)"
"how much does a neuropsychological evaluation cost out of pocket","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","theindustryguides.com","Perplexity","2026-08-27","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html | https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html | https://theindustryguides.com/insights/neuro-026-how-to-choose-if-you-have-a-deadline.html","strong incumbent","Y","Y","The incumbent provides concrete ranges and citations, which satisfies an immediate price-intent better than the winner page's current generic framing. However, its ranges aggregate heterogeneous provider pages and do not solve quote comparability.","Y","Outperform provider-fee aggregation by helping users detect incomplete quotes. Preserve a range-free, scope-first answer unless the site can support a transparent, current pricing study.","3","L1→L3 ↑ vs. 2026-08-20 (7d ago)","","strong incumbent","structure","outperform","insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","FILEPATH: /insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html || CURRENT: The page’s “Direct answer” says to request an itemized estimate, and its component table covers intake through additional documentation, insurance variables, and self-pay terms. || MISSING: A top-of-page decision aid that lets a cash-pay user compare estimates consistently, including scope, turnaround, and separate fees. || EDIT: Add an H2 after “Direct answer,” “Compare quotes by total scope, not headline price.” Add a compact three-column table: “Quote field,” “Ask this exact question,” and “Why it changes your total,” covering assessment hours/domains, record review, scoring, report type, feedback, school/work documentation, turnaround/expedite fee, deposit/cancellation, and payment terms. Add a bold warning: “A price is not comparable unless you know whether the report and feedback are included.” Link internally to the price-estimate and deadline guides. Do not add broad national price bands without dated methodology and authoritative, representative sources.","L1→L3 ↑ vs. 2026-08-20 (7d ago)"
"how much does a neuropsychological evaluation cost out of pocket","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-27","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html | https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html","strong incumbent","Y","Y","The incumbent offers a detailed explanation of time, billing, setting, and lower-cost options, but makes numerous uncited, jurisdiction- and provider-dependent numerical and coverage claims. The winner page is safer but insufficiently explanatory at the top.","Y","Use the page's existing component-level advantage to correct the false precision of unsourced price and time claims. Source any cost benchmarks separately if they are later added.","3","L1→L3 ↑ vs. 2026-08-20 (7d ago)","","strong incumbent","authority","authority required","insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","FILEPATH: /insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html || CURRENT: The page lists all major cost components in “Neuropsych Evaluation Cost Components” but presents them below a general direct answer and repeats the table. || MISSING: An answer-first explanation that a comprehensive quote must account for both appointment time and behind-the-scenes work, plus an explicit total-cost checklist for self-pay users. || EDIT: Replace the duplicate component table with an H2, “What an out-of-pocket quote should include,” followed by an ordered checklist: intake/records, test administration, scoring and interpretation, written report, feedback, additional letters/forms, and payment/cancellation terms. Add: “Ask whether each item is included in the quoted total or separately billed.” Then add a one-paragraph insurance note directing users to verify authorization, deductible, coinsurance, and out-of-network rules. Do not publish asserted national rates, hour totals, HSA/FSA eligibility, or payment-plan norms without authoritative citations and applicable caveats.","L1→L3 ↑ vs. 2026-08-20 (7d ago)"
"how to ask a neuropsych provider for a price estimate before committing","https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html","theindustryguides.com","OpenAI GPT-4o","2026-08-27","","medium incumbent","N","Y","The response provides a workable communications sequence and asks about total costs, included services, insurance, and payment options. The winner page covers the central pricing-transparency logic but does not make the scope questions sufficiently concrete.","Y","Expand the thin template into a practical price-estimate script and checklist; this directly covers the useful portions of the answer without relying on unsupported universal claims.","3","L2→L3 ↑ vs. 2026-08-20 (7d ago)","","medium incumbent","completeness","page fix","insights/neuro-027-how-to-ask-for-a-price-estimate.html","FILEPATH: /insights/neuro-027-how-to-ask-for-a-price-estimate.html || CURRENT: The H2 “How to ask for a price estimate: Copy-Paste Verification Prompt” asks generally about specialty, report content, timeline, and transparent pricing. || MISSING: A concise, consumer-ready request for a written total estimate plus a line-item scope checklist and insurance/payment follow-ups. || EDIT: Directly below the existing copy-paste prompt, add an H3 “Ask for this in writing” with: “Before booking, could you send a written estimate of the total expected cost and identify what could change it? Please confirm whether the estimate includes intake, testing, scoring, record review, report writing, feedback, forms, and any follow-up visits.” Add bullets asking about insurance, deposits, payment plans, cancellation fees, and the maximum cost if additional testing is needed.","L2→L3 ↑ vs. 2026-08-20 (7d ago)"
"how to ask a neuropsych provider for a price estimate before committing","https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html","theindustryguides.com","Perplexity","2026-08-27","","strong incumbent","Y","Y","The response is more specific than the page about line items, report writing, scoring, feedback, records, and insurance. Its citations are all outside the permitted URL list, and the page is not cited despite matching the query exactly.","Y","Outperform the externally sourced answer by supplying a self-contained, detailed scope checklist and by avoiding an overbroad statement about legal timing/eligibility for Good Faith Estimates.","3","L2→L3 ↑ vs. 2026-08-20 (7d ago)","","strong incumbent","completeness","outperform","insights/neuro-027-how-to-ask-for-a-price-estimate.html","FILEPATH: /insights/neuro-027-how-to-ask-for-a-price-estimate.html || CURRENT: The H2 “How to ask for a price estimate: Copy-Paste Verification Prompt” contains broad verification questions but no dedicated written-estimate request or service-by-service cost checklist. || MISSING: A clear distinction between requesting an estimate and confirming exactly which neuropsych services and deliverables are covered. || EDIT: Add an H3 after the copy-paste prompt titled “Price-estimate message to send” containing a short email/text script requesting the expected total, inclusions, exclusions, possible cost changes, and a written reply. Follow it with an H3 “Confirm the quote covers” listing intake, testing, scoring, records review, written report, feedback, school forms, and additional sessions. Phrase any Good Faith Estimate information conditionally and link only to authoritative permitted site resources if such material is added.","L2→L3 ↑ vs. 2026-08-20 (7d ago)"
"how to ask a neuropsych provider for a price estimate before committing","https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-27","","strong incumbent","Y","Y","The response has strong practical detail—self-pay and insurance scripts, scope questions, possible overages, deposits, and payment plans—but it does not cite the winner page. Several specific cost, legal, billing-code, and deposit claims are unsupported in the supplied response.","Y","Build a more useful price page around controllable questions rather than unsupported cost ranges, deposit norms, CPT-code examples, or generalized No Surprises Act claims.","3","L1→L3 ↑ vs. 2026-08-20 (7d ago)","","strong incumbent","authority","outperform","insights/neuro-027-how-to-ask-for-a-price-estimate.html","FILEPATH: /insights/neuro-027-how-to-ask-for-a-price-estimate.html || CURRENT: The page’s “Copy-Paste Verification Prompt” says to ask about transparent pricing, report content, timeline, and specialty. || MISSING: A short self-pay/insurance decision branch, an itemized estimate checklist, and carefully bounded guidance on cost variables. || EDIT: Add an H3 “Use the right version for your payment method” with separate short scripts for self-pay and insurance users. Add a checklist requesting the estimate’s included services, expected timeline for final report, deposit and cancellation policy, payment-plan availability, and the conditions that would increase the quote. Do not publish a universal dollar range, typical wait-time claim, or legal-right assertion unless supported by first-party or authoritative permitted sources.","L1→L3 ↑ vs. 2026-08-20 (7d ago)"
"how to choose a neuropsych evaluator fast when I have a school deadline","https://theindustryguides.com/insights/neuro-026-how-to-choose-if-you-have-a-deadline.html","theindustryguides.com","OpenAI GPT-4o","2026-08-27","","medium incumbent","N","Y","The response gives a sensible fast-comparison process and stresses specialty, scope, credentials, availability, school utility, and costs. The page captures specialty and report-content logic but lacks operational questions for a school deadline.","Y","Turn the generic decision tree into a deadline triage tool centered on specialty fit, report scope, and a written final-report date.","3","L1→L3 ↑ vs. 2026-08-20 (7d ago)","","medium incumbent","completeness","page fix","insights/neuro-026-how-to-choose-if-you-have-a-deadline.html","FILEPATH: /insights/neuro-026-how-to-choose-if-you-have-a-deadline.html || CURRENT: The H2 “How to choose if you have a deadline: Proceed / Compare / Pause Decision Tree” says to confirm specialty, clarify report contents, and pause for vague report content. || MISSING: Deadline-specific screening questions that distinguish appointment availability from final-report delivery and school usability. || EDIT: Below the decision table, add an H3 “Call 2–3 offices and ask these four questions” with: “Can you complete testing and deliver the final signed report by [date]?” “What exact school decision can the report support?” “Does the report include findings and actionable accommodation recommendations?” and “Who conducts testing and signs the report?” Add a bold instruction: “Ask for the report-delivery date in writing; a fast appointment alone is not enough.”","L1→L3 ↑ vs. 2026-08-20 (7d ago)"
