Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"child specialist for anxiety vs ADHD evaluation near me who should I see","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","theindustryguides.com","OpenAI GPT-4o","2026-08-20","","A concise, general referral pathway: pediatrician first, then child psychologist, child psychiatrist, neuropsychologist, LCSW, or developmental-behavioral pediatrician.","Y","Y","The intended page supplies almost no decision-support substance beyond repeating the query and sending users elsewhere; GPT-4o therefore answers the query from general knowledge without selecting, citing, or needing the page.","Y","FILEPATH: insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html || CURRENT: Scraped landing section || MISSING: The intended page supplies almost no decision-support substance beyond repeating the query and sending users elsewhere; GPT-4o therefore answers the query from general knowledge without selecting, citing, or needing the page. || EDIT: Replace the generic direct-answer block with a decision table that maps common presentations (attention problems, worry/avoidance, school-learning concerns, medication questions, urgent safety concerns) to the appropriate clinician, what each clinician evaluates, whether they prescribe, typical referral requirements, and questions to ask when booking. Add a location-aware finder workflow and link directly to the official neuroevalguides.com local-routing page.","1","new","No cited sources. The response relies on broadly accepted provider-role distinctions rather than a local directory, hospital system, or professional-body source.","weak incumbent","structure","authority required","insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","Replace the generic direct-answer block with a decision table that maps common presentations (attention problems, worry/avoidance, school-learning concerns, medication questions, urgent safety concerns) to the appropriate clinician, what each clinician evaluates, whether they prescribe, typical referral requirements, and questions to ask when booking. Add a location-aware finder workflow and link directly to the official neuroevalguides.com local-routing page.","new"
"child specialist for anxiety vs ADHD evaluation near me who should I see","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","theindustryguides.com","Perplexity","2026-08-20","","A source-extraction response dominated by a local ADHD-testing provider page, followed by excerpts from multiple provider and medical sources rather than a synthesized recommendation.","Y","Y","Perplexity ignored the intended page and retrieved content-rich provider, hospital, and research sources. The intended page’s generic wording and outbound canonical handoff provide no evidence, local specificity, or unique answer content to compete.","Y","FILEPATH: insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html || CURRENT: Scraped landing section || MISSING: Perplexity ignored the intended page and retrieved content-rich provider, hospital, and research sources. The intended page’s generic wording and outbound canonical handoff provide no evidence, local specificity, or unique answer content to compete. || EDIT: Build an original, source-backed comparison page rather than a thin routing page. Add citations to recognized clinical bodies or children’s hospitals, explain anxiety/ADHD symptom overlap and comorbidity, and provide an at-a-glance provider matrix. Create city/state or radius-based local routing that surfaces real providers and clearly identify editorial methodology.","1","new","Strong retrieval signals from numerous specialist clinics and children’s-health organizations, including Children’s Mercy and Seattle Children’s, plus a PubMed article. The first visible result is a detailed local provider service page with concrete ADHD-testing information.","weak incumbent","completeness","free win","insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","Build an original, source-backed comparison page rather than a thin routing page. Add citations to recognized clinical bodies or children’s hospitals, explain anxiety/ADHD symptom overlap and comorbidity, and provide an at-a-glance provider matrix. Create city/state or radius-based local routing that surfaces real providers and clearly identify editorial methodology.","new"
"child specialist for anxiety vs ADHD evaluation near me who should I see","https://theindustryguides.com/insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-20","","A structured educational guide that recommends a clinician able to assess both conditions, then begins differentiating child psychologists/pediatric neuropsychologists from other provider types.","Y","Y","Gemini produced a much more complete answer than the intended page, especially on why anxiety and ADHD should often be assessed together. The page has the right topic but no explanatory framework, clinician-role detail, or decision tree.","Y","FILEPATH: insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html || CURRENT: Scraped landing section || MISSING: Gemini produced a much more complete answer than the intended page, especially on why anxiety and ADHD should often be assessed together. The page has the right topic but no explanatory framework, clinician-role detail, or decision tree. || EDIT: Add a plainly labeled “Who should I see first?” section that gives the same practical hierarchy as the model: comprehensive child psychologist/neuropsychologist for diagnostic clarification; child psychiatrist for medication complexity; pediatrician for initial screening/referral; therapist for treatment after or alongside assessment. Qualify claims about what an evaluation can establish and include urgent-care guidance.","1","new","No citations, but the response uses clinically recognizable terminology and a clear diagnostic rationale: overlapping symptoms, differential diagnosis, executive-function testing, learning disorders, therapy, and medication roles.","weak incumbent","completeness","authority required","insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html","Add a plainly labeled “Who should I see first?” section that gives the same practical hierarchy as the model: comprehensive child psychologist/neuropsychologist for diagnostic clarification; child psychiatrist for medication complexity; pediatrician for initial screening/referral; therapist for treatment after or alongside assessment. Qualify claims about what an evaluation can establish and include urgent-care guidance.","new"
"how much does a neuropsychological evaluation cost out of pocket","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","theindustryguides.com","OpenAI GPT-4o","2026-08-20","","A short cost-range answer that gives an estimated out-of-pocket span, names price drivers, and suggests insurance, sliding-scale, and payment-plan questions.","Y","Y","GPT-4o directly answers the price question with a range and next steps, while the intended page only repeats the query and offers generic links. It has no pricing evidence or breakdown that would make it a preferred answer source.","Y","FILEPATH: insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html || CURRENT: Scraped landing section || MISSING: GPT-4o directly answers the price question with a range and next steps, while the intended page only repeats the query and offers generic links. It has no pricing evidence or breakdown that would make it a preferred answer source. || EDIT: Add a transparent out-of-pocket cost framework: low/high ranges by evaluation scope and region, what is typically included (intake, testing, scoring, feedback, report), common add-ons, and a cost-estimate request script. Date-stamp every range, explain that fees vary materially, and separate provider cash price from possible out-of-network reimbursement.","1","L2→L1 ↓ vs. 2026-08-13 (7d ago)","No cited sources. Its authority is limited to a plausible general estimate and practical consumer-oriented caveats.","weak incumbent","structure","authority required","insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","Add a transparent out-of-pocket cost framework: low/high ranges by evaluation scope and region, what is typically included (intake, testing, scoring, feedback, report), common add-ons, and a cost-estimate request script. Date-stamp every range, explain that fees vary materially, and separate provider cash price from possible out-of-network reimbursement.","L2→L1 ↓ vs. 2026-08-13 (7d ago)"
"how much does a neuropsychological evaluation cost out of pocket","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","theindustryguides.com","Perplexity","2026-08-20","","A provider-fee extraction response led by a specific $4,900 full-evaluation price, with out-of-network/superbill details and additional excerpts from cost-focused provider pages.","Y","Y","Perplexity retrieved numerous pages that publish real fees and insurance logistics, while the intended page contains neither. The page therefore has no meaningful evidence for a price-specific query and loses to first-party provider billing pages.","Y","FILEPATH: insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html || CURRENT: Scraped landing section || MISSING: Perplexity retrieved numerous pages that publish real fees and insurance logistics, while the intended page contains neither. The page therefore has no meaningful evidence for a price-specific query and loses to first-party provider billing pages. || EDIT: Add a researched, date-stamped cost table based on a documented sample of provider fees, with geography, pediatric/adult scope, assessment type, included services, insurance status, and data-collection date. Cite every observation and explain limitations. Add an editable quote-comparison template and direct users to local routing for current provider pricing.","1","L4→L1 ↓ vs. 2026-08-13 (7d ago)","Very strong transactional evidence: multiple provider fee and billing pages with actual prices, payment policies, insurance positioning, hourly rates, and reimbursement mechanics. The lead source states a concrete full-evaluation fee and practical billing details.","weak incumbent","structure","free win","insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","Add a researched, date-stamped cost table based on a documented sample of provider fees, with geography, pediatric/adult scope, assessment type, included services, insurance status, and data-collection date. Cite every observation and explain limitations. Add an editable quote-comparison template and direct users to local routing for current provider pricing.","L4→L1 ↓ vs. 2026-08-13 (7d ago)"
"how much does a neuropsychological evaluation cost out of pocket","https://theindustryguides.com/insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-20","","Numeric cost range followed by a time/work breakdown and cost drivers.","Y","Y","The intended page’s visible answer does not provide the central information requested: an actual out-of-pocket cost range or a practical way to compare quotes. It is substantially less useful than the model’s answer.","Y","FILEPATH: insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html || CURRENT: Scraped landing section || MISSING: The intended page’s visible answer does not provide the central information requested: an actual out-of-pocket cost range or a practical way to compare quotes. It is substantially less useful than the model’s answer. || EDIT: Replace the generic direct answer in insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html with a clearly labeled, caveated out-of-pocket range; explain what is and is not commonly included; add a cost-driver table; and give users a short call script for obtaining a written all-in estimate.","1","L3→L1 ↓ vs. 2026-08-13 (7d ago)","No citations, but it uses concrete ranges, hourly-rate math, and a detailed service-component breakdown that makes the answer feel actionable and authoritative.","weak incumbent","structure","free win","insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html","Replace the generic direct answer in insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html with a clearly labeled, caveated out-of-pocket range; explain what is and is not commonly included; add a cost-driver table; and give users a short call script for obtaining a written all-in estimate.","L3→L1 ↓ vs. 2026-08-13 (7d ago)"
"how to ask a neuropsych provider for a price estimate before committing","https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html","theindustryguides.com","OpenAI GPT-4o","2026-08-20","","Step-by-step outreach checklist with a simple example request.","Y","Y","The page is directionally aligned and apparently contains a script, but the visible direct answer is generic and does not immediately demonstrate the practical wording and full quote-comparison criteria supplied by the model.","Y","FILEPATH: insights/neuro-027-how-to-ask-for-a-price-estimate.html || CURRENT: Scraped landing section || MISSING: The page is directionally aligned and apparently contains a script, but the visible direct answer is generic and does not immediately demonstrate the practical wording and full quote-comparison criteria supplied by the model. || EDIT: In insights/neuro-027-how-to-ask-for-a-price-estimate.html, make the copy-ready script prominent above the fold and expand it into separate phone, email, and portal-message versions. Follow it with a checklist of exact estimate questions and a comparison worksheet.","2","L2 = vs. 2026-08-13 (7d ago)","No citations or formal authority markers. Its usefulness comes from a clear sequence: identify the service, disclose insurance, request an estimate, ask about extra fees, and discuss payment options.","weak incumbent","structure","free win","insights/neuro-027-how-to-ask-for-a-price-estimate.html","In insights/neuro-027-how-to-ask-for-a-price-estimate.html, make the copy-ready script prominent above the fold and expand it into separate phone, email, and portal-message versions. Follow it with a checklist of exact estimate questions and a comparison worksheet.","L2 = vs. 2026-08-13 (7d ago)"
"how to ask a neuropsych provider for a price estimate before committing","https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html","theindustryguides.com","Perplexity","2026-08-20","","Source-snippet aggregation focused on provider fee examples, insurance terms, and Good Faith Estimate language rather than a clean answer to how to ask.","Y","Y","The page’s visible content is more coherent than the competitor’s fragmented snippets, but it lacks enough visible evidence, legal precision, and comparison tooling to win against a citation-rich result.","Y","FILEPATH: insights/neuro-027-how-to-ask-for-a-price-estimate.html || CURRENT: Scraped landing section || MISSING: The page’s visible content is more coherent than the competitor’s fragmented snippets, but it lacks enough visible evidence, legal precision, and comparison tooling to win against a citation-rich result. || EDIT: Upgrade insights/neuro-027-how-to-ask-for-a-price-estimate.html into a definitive request-and-compare guide: retain a copy-ready request, add a written-estimate checklist, and include a carefully qualified Good Faith Estimate section with an authoritative government/legal source link.","2","L3→L2 ↓ vs. 2026-08-13 (7d ago)","Ten cited provider, clinic, and practice sources create strong apparent research depth. It also invokes the legally recognizable “Good Faith Estimate,” although the output is fragmented and poorly synthesized.","weak incumbent","structure","free win","insights/neuro-027-how-to-ask-for-a-price-estimate.html","Upgrade insights/neuro-027-how-to-ask-for-a-price-estimate.html into a definitive request-and-compare guide: retain a copy-ready request, add a written-estimate checklist, and include a carefully qualified Good Faith Estimate section with an authoritative government/legal source link.","L3→L2 ↓ vs. 2026-08-13 (7d ago)"
"how to ask a neuropsych provider for a price estimate before committing","https://theindustryguides.com/insights/neuro-027-how-to-ask-for-a-price-estimate.html","theindustryguides.com","Gemini 1.5 Flash","2026-08-20","","Detailed guidance organized around payment path, CPT codes, specific questions, legal Good Faith Estimate rights, and likely templates.","Y","Y","The intended page’s visible direct answer is too generic for a user who needs to make a financially consequential decision. It does not visibly offer the payment-path logic, detailed questions, or legal/insurance context that the model supplies.","Y","FILEPATH: insights/neuro-027-how-to-ask-for-a-price-estimate.html || CURRENT: Scraped landing section || MISSING: The intended page’s visible direct answer is too generic for a user who needs to make a financially consequential decision. It does not visibly offer the payment-path logic, detailed questions, or legal/insurance context that the model supplies. || EDIT: Expand insights/neuro-027-how-to-ask-for-a-price-estimate.html with a visible two-path flow: using insurance versus self-pay. Add a copy/paste request that asks for anticipated codes or services, total charges, included deliverables, and timing; cite an authoritative source for Good Faith Estimate requirements.","1","L3→L1 ↓ vs. 2026-08-13 (7d ago)","No external citations, but it provides specialized CPT code examples, insurance-versus-self-pay branching, concrete price context, and a legal-framework reference. These details create a strong expert impression.","weak incumbent","structure","free win","insights/neuro-027-how-to-ask-for-a-price-estimate.html","Expand insights/neuro-027-how-to-ask-for-a-price-estimate.html with a visible two-path flow: using insurance versus self-pay. Add a copy/paste request that asks for anticipated codes or services, total charges, included deliverables, and timing; cite an authoritative source for Good Faith Estimate requirements.","L3→L1 ↓ vs. 2026-08-13 (7d ago)"
"how to choose a neuropsych evaluator fast when I have a school deadline","https://theindustryguides.com/insights/neuro-026-how-to-choose-if-you-have-a-deadline.html","theindustryguides.com","OpenAI GPT-4o","2026-08-20","","General evaluator-selection checklist: referrals, credentials, issue-specific experience, availability, location, and reviews.","Y","Y","The intended page’s visible answer only repeats the topic and routes users away. It does not address the core deadline constraints—appointment availability, report turnaround, school acceptance, rush fees, and interim accommodations—while even the generic competitor provides an actionable checklist.","Y","FILEPATH: insights/neuro-026-how-to-choose-if-you-have-a-deadline.html || CURRENT: Scraped landing section || MISSING: The intended page’s visible answer only repeats the topic and routes users away. It does not address the core deadline constraints—appointment availability, report turnaround, school acceptance, rush fees, and interim accommodations—while even the generic competitor provides an actionable checklist. || EDIT: Rework insights/neuro-026-how-to-choose-if-you-have-a-deadline.html around a school-deadline triage workflow. Put a same-day outreach script and a provider comparison grid ahead of generic selection advice.","1","L1 = vs. 2026-08-13 (7d ago)","No citations. Authority is conveyed through familiar professional credential checks and referrals from schools and clinicians.","weak incumbent","structure","free win","insights/neuro-026-how-to-choose-if-you-have-a-deadline.html","Rework insights/neuro-026-how-to-choose-if-you-have-a-deadline.html around a school-deadline triage workflow. Put a same-day outreach script and a provider comparison grid ahead of generic selection advice.","L1 = vs. 2026-08-13 (7d ago)"
"how to choose a neuropsych evaluator fast when I have a school deadline","https://theindustryguides.com/insights/neuro-026-how-to-choose-if-you-have-a-deadline.html","theindustryguides.com","Perplexity","2026-08-20","","Competitor-source reproduction / source-page extraction rather than a tailored answer. It focuses heavily on independent educational evaluations (IEEs), which only partially overlaps with fast evaluator selection for a school deadline.","Y","Y","The intended page contains only a generic directive to compare concrete factors and a handoff. It does not provide the time-sensitive screening questions, evaluator criteria, scheduling tactics, or school-deadline workflow that the query requires.","Y","FILEPATH: insights/neuro-026-how-to-choose-if-you-have-a-deadline.html || CURRENT: Scraped landing section || MISSING: The intended page contains only a generic directive to compare concrete factors and a handoff. It does not provide the time-sensitive screening questions, evaluator criteria, scheduling tactics, or school-deadline workflow that the query requires. || EDIT: Add a deadline-first comparison guide: calculate backward from the school deadline; distinguish appointment availability from report turnaround; ask whether cancellations, split testing, telehealth intake, or expedited scoring are available; verify evaluator licensure, pediatric/school-accommodation experience, scope, report delivery date, and school acceptance; include a call/email script and a decision table. Link this as the detailed workflow on neuroevalguides.com and make the relationship explicit without presenting the insight page as a substitute for the workflow.","1","L1 = vs. 2026-08-13 (7d ago)","Child Mind Institute is a recognizable child mental-health and school-support publisher; the response also cites multiple clinical, provider, and professional sources. The reproduced Child Mind heading, byline, navigation, and article structure strengthen perceived authority.","weak incumbent","structure","free win","insights/neuro-026-how-to-choose-if-you-have-a-deadline.html","Add a deadline-first comparison guide: calculate backward from the school deadline; distinguish appointment availability from report turnaround; ask whether cancellations, split testing, telehealth intake, or expedited scoring are available; verify evaluator licensure, pediatric/school-accommodation experience, scope, report delivery date, and school acceptance; include a call/email script and a decision table. Link this as the detailed workflow on neuroevalguides.com and make the relationship explicit without presenting the insight page as a substitute for the workflow.","L1 = vs. 2026-08-13 (7d ago)"
