Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"can i get a higher settlement if the other driver was drunk","https://theindustryguides.com/personal-injury/insurance-fault/","theindustryguides.com","OpenAI GPT-4o","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: personal-injury/insurance-fault/index.html || CURRENT: Add a comparison table showing how drunk-driving evidence changes insurer settlement motivation and typical multiplier ranges || MISSING: Content gap found || EDIT: Rewrite insurance-fault/ page to add a dedicated section on how DUI evidence affects settlement value (punitive damages, negligence per se, dram shop liability)",3,"new","None","no incumbent","COMPLETENESS","page fix","personal-injury/insurance-fault/index.html","Rewrite insurance-fault/ page to add a dedicated section on how DUI evidence affects settlement value (punitive damages, negligence per se, dram shop liability)","new"
"can i get a higher settlement if the other driver was drunk","https://theindustryguides.com/personal-injury/insurance-fault/","theindustryguides.com","Perplexity","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: personal-injury/insurance-fault/index.html || CURRENT: Add a comparison table showing how drunk-driving evidence changes insurer settlement motivation and typical multiplier ranges || MISSING: Content gap found || EDIT: Rewrite insurance-fault/ page to add a dedicated section on how DUI evidence affects settlement value (punitive damages, negligence per se, dram shop liability)",1,"new","None","no incumbent","COMPLETENESS","page fix","personal-injury/insurance-fault/index.html","Rewrite insurance-fault/ page to add a dedicated section on how DUI evidence affects settlement value (punitive damages, negligence per se, dram shop liability)","new"
"do i need a personal injury lawyer after an accident","https://theindustryguides.com/insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html","theindustryguides.com","OpenAI GPT-4o","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html || CURRENT: Add a named legal reviewer byline and last-reviewed date to strengthen E-E-A-T against Nolo and FindLaw || MISSING: Content gap found || EDIT: Add direct citations to state bar consumer guides and ABA resources within personal-injury-002 so AI answer engines can attribute claims to the page",2,"new","None","strong incumbent","AUTHORITY","authority required","insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html","Add direct citations to state bar consumer guides and ABA resources within personal-injury-002 so AI answer engines can attribute claims to the page","new"
"do i need a personal injury lawyer after an accident","https://theindustryguides.com/insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html","theindustryguides.com","Perplexity","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html || CURRENT: Add a named legal reviewer byline and last-reviewed date to strengthen E-E-A-T against Nolo and FindLaw || MISSING: Content gap found || EDIT: Add direct citations to state bar consumer guides and ABA resources within personal-injury-002 so AI answer engines can attribute claims to the page",1,"new","None","strong incumbent","AUTHORITY","authority required","insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html","Add direct citations to state bar consumer guides and ABA resources within personal-injury-002 so AI answer engines can attribute claims to the page","new"
"how do i avoid personal injury lawyer scams and red flags","https://theindustryguides.com/insights/personal-injury-010-how-do-i-avoid-injury-lawyer-scams.html","theindustryguides.com","OpenAI GPT-4o","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: personal-injury/index.html || CURRENT: Add a named editorial reviewer and explicit last-updated date to compete with Nolo/Justia citation patterns || MISSING: Content gap found || EDIT: Cite state bar disciplinary-search tools and FTC/BBB scam-alert pages directly inside personal-injury-010's red-flag matrix",3,"new","None","strong incumbent","AUTHORITY","authority required","personal-injury/index.html","Cite state bar disciplinary-search tools and FTC/BBB scam-alert pages directly inside personal-injury-010's red-flag matrix","new"
"how do i avoid personal injury lawyer scams and red flags","https://theindustryguides.com/insights/personal-injury-010-how-do-i-avoid-injury-lawyer-scams.html","theindustryguides.com","Perplexity","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: personal-injury/index.html || CURRENT: Add a named editorial reviewer and explicit last-updated date to compete with Nolo/Justia citation patterns || MISSING: Content gap found || EDIT: Cite state bar disciplinary-search tools and FTC/BBB scam-alert pages directly inside personal-injury-010's red-flag matrix",1,"new","None","strong incumbent","AUTHORITY","authority required","personal-injury/index.html","Cite state bar disciplinary-search tools and FTC/BBB scam-alert pages directly inside personal-injury-010's red-flag matrix","new"
"how do i calculate pain and suffering for a broken leg","https://theindustryguides.com/insights/personal-injury-004-how-to-evaluate-car-accident-lawyer-options.html","theindustryguides.com","OpenAI GPT-4o","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: insights/personal-injury-004-how-to-evaluate-car-accident-lawyer-options.html || CURRENT: Cross-link the new page from insurance-fault/ and medical-treatment/ hub pages to build topical relevance || MISSING: Content gap found || EDIT: Create a new insight page dedicated to pain-and-suffering calculation methods (multiplier and per-diem) since personal-injury-004 only covers lawyer-evaluation criteria",3,"new","None","no incumbent","COMPLETENESS","page fix","insights/personal-injury-004-how-to-evaluate-car-accident-lawyer-options.html","Create a new insight page dedicated to pain-and-suffering calculation methods (multiplier and per-diem) since personal-injury-004 only covers lawyer-evaluation criteria","new"
"how do i calculate pain and suffering for a broken leg","https://theindustryguides.com/insights/personal-injury-004-how-to-evaluate-car-accident-lawyer-options.html","theindustryguides.com","Perplexity","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: insights/personal-injury-004-how-to-evaluate-car-accident-lawyer-options.html || CURRENT: Cross-link the new page from insurance-fault/ and medical-treatment/ hub pages to build topical relevance || MISSING: Content gap found || EDIT: Create a new insight page dedicated to pain-and-suffering calculation methods (multiplier and per-diem) since personal-injury-004 only covers lawyer-evaluation criteria",1,"new","None","no incumbent","COMPLETENESS","page fix","insights/personal-injury-004-how-to-evaluate-car-accident-lawyer-options.html","Create a new insight page dedicated to pain-and-suffering calculation methods (multiplier and per-diem) since personal-injury-004 only covers lawyer-evaluation criteria","new"
"how do i pick the right lawyer for my accident type","https://theindustryguides.com/insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html","theindustryguides.com","OpenAI GPT-4o","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html || CURRENT: Expand accident-type sub-sections (truck, malpractice, workplace) with sourced specifics to out-cite Nolo/Justia || MISSING: Content gap found || EDIT: Add references to ABA specialization certifications and state bar referral services directly within personal-injury-014",2,"new","None","strong incumbent","AUTHORITY","authority required","insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html","Add references to ABA specialization certifications and state bar referral services directly within personal-injury-014","new"
"how do i pick the right lawyer for my accident type","https://theindustryguides.com/insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html","theindustryguides.com","Perplexity","2026-07-13","None","comprehensive","N","N","Structure and authority differences","Y","FILEPATH: insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html || CURRENT: Expand accident-type sub-sections (truck, malpractice, workplace) with sourced specifics to out-cite Nolo/Justia || MISSING: Content gap found || EDIT: Add references to ABA specialization certifications and state bar referral services directly within personal-injury-014",1,"new","None","strong incumbent","AUTHORITY","authority required","insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html","Add references to ABA specialization certifications and state bar referral services directly within personal-injury-014","new"
