Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"can i go to my regular family doctor for the uscis medical exam","https://theindustryguides.com/uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/","theindustryguides.com","OpenAI GPT-4o","2026-07-17","none","long-form structured Q&A with headers and numbered list","N","Y","Specific answer stating civil surgeons only, distinction between civil surgeon (in US) vs panel physician (abroad), Form I-693 validity note, and a link to verify a doctor's authorization.","Y","FILEPATH: uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/index.html || CURRENT: Page has only a generic one-paragraph 'Direct answer' plus navigation/checklist boilerplate; no explicit FAQ answering whether a family doctor qualifies. || MISSING: Specific answer stating civil surgeons only, distinction between civil surgeon (in US) vs panel physician (abroad), Form I-693 validity note, and a link to verify a doctor's authorization. || EDIT: Insert a visible FAQ section directly under 'Direct answer' titled 'Can I use my regular doctor?' with a bolded No, 3-bullet explanation (civil surgeon designation, panel physician abroad, verify tool), and link to https://theindustryguides.com/insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized.html.","2","L3→L2 ↓ vs. 2026-07-10 (7d ago)","none","COMPLETENESS","COMPLETENESS","page fix","uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/index.html","Insert a visible FAQ section directly under 'Direct answer' titled 'Can I use my regular doctor?' with a bolded No, 3-bullet explanation (civil surgeon designation, panel physician abroad, verify tool), and link to https://theindustryguides.com/insights/uscis-medical-019-how-to-verify-a-doctor-is-authorized.html.","L3→L2 ↓ vs. 2026-07-10 (7d ago)"
"can i go to my regular family doctor for the uscis medical exam","https://theindustryguides.com/uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/","theindustryguides.com","Perplexity","2026-07-17","external only: uscis.gov, extraordinaryvisa.com, greencardmedicalny.com (no theindustryguides.com citation)","single sentence with bracketed citations","N","Y","An authoritative, sourced statement (e.g., citing USCIS Policy Manual Vol 8 Part B Ch 4) naming the civil surgeon requirement and Form I-693, plus a visible source list matching Perplexity's citation pattern.","Y","FILEPATH: uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/index.html || CURRENT: Page offers only a one-line generic 'Direct answer' without citable specifics; Perplexity instead cited uscis.gov and third-party clinic sites. || MISSING: An authoritative, sourced statement (e.g., citing USCIS Policy Manual Vol 8 Part B Ch 4) naming the civil surgeon requirement and Form I-693, plus a visible source list matching Perplexity's citation pattern. || EDIT: Add a 'Sources' callout box citing USCIS.gov's Find-a-Civil-Surgeon tool and I-693 instructions directly below the direct-answer paragraph so the page is citation-ready.","2","L3→L2 ↓ vs. 2026-07-10 (7d ago)","external only: uscis.gov, extraordinaryvisa.com, greencardmedicalny.com (no theindustryguides.com citation)","COMPLETENESS","COMPLETENESS","authority required","uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/index.html","Add a 'Sources' callout box citing USCIS.gov's Find-a-Civil-Surgeon tool and I-693 instructions directly below the direct-answer paragraph so the page is citation-ready.","L3→L2 ↓ vs. 2026-07-10 (7d ago)"
"can i go to my regular family doctor for the uscis medical exam","https://theindustryguides.com/uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/","theindustryguides.com","Gemini 1.5 Flash","2026-07-17","none","truncated single sentence","N","Y","A short, complete, quotable answer stating 'No' plus the civil surgeon exception, so models don't cut off mid-sentence.","Y","FILEPATH: uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/index.html || CURRENT: Page's direct-answer content is generic boilerplate, not a concise standalone FAQ answer. || MISSING: A short, complete, quotable answer stating 'No' plus the civil surgeon exception, so models don't cut off mid-sentence. || EDIT: Add a bolded 2-sentence answer at the very top of the guide section: 'No. You cannot use your regular family doctor unless they are USCIS-designated as a civil surgeon.' followed by a link to the verification tool.","1","new","none","CLARITY","CLARITY","page fix","uscis-medical/community-questions/what-is-the-uscis-medical-exam-and-who-performs-it/index.html","Add a bolded 2-sentence answer at the very top of the guide section: 'No. You cannot use your regular family doctor unless they are USCIS-designated as a civil surgeon.' followed by a link to the verification tool.","new"
"how long does the whole uscis medical process take from start to finish","https://theindustryguides.com/insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html","theindustryguides.com","OpenAI GPT-4o","2026-07-17","none","long-form structured timeline breakdown with headers","N","Y","A specific stage-by-stage timeline (scheduling, exam duration ~1hr, I-693 processing, USCIS review) with day/week estimates like GPT-4o's 2-3 week to 1-2 month range.","Y","FILEPATH: insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html || CURRENT: Page's direct-answer focuses on booking/logistics checklist (verify civil surgeon, bring documents) without any end-to-end timeline. || MISSING: A specific stage-by-stage timeline (scheduling, exam duration ~1hr, I-693 processing, USCIS review) with day/week estimates like GPT-4o's 2-3 week to 1-2 month range. || EDIT: Add a 'Typical Timeline' table beneath the Direct Answer section listing each stage with time estimates, and cross-link to https://theindustryguides.com/insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html and https://theindustryguides.com/insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html.","2","L2→L2 = vs. 2026-07-10 (7d ago)","none","COMPLETENESS","COMPLETENESS","page fix","insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html","Add a 'Typical Timeline' table beneath the Direct Answer section listing each stage with time estimates, and cross-link to https://theindustryguides.com/insights/uscis-medical-008-how-long-is-the-medical-exam-valid.html and https://theindustryguides.com/insights/uscis-medical-011-how-to-avoid-delays-and-rfes.html.","L2→L2 = vs. 2026-07-10 (7d ago)"
"how long does the whole uscis medical process take from start to finish","https://theindustryguides.com/insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html","theindustryguides.com","Perplexity","2026-07-17","external only: extraordinaryvisa.com, uscis.gov (no theindustryguides.com citation)","single sentence timeframe with citations","N","Y","An explicit, citable timeframe statement (e.g., 'typically 2-4 weeks total') that models can quote directly.","Y","FILEPATH: insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html || CURRENT: Direct answer covers only the booking checklist; Perplexity cited uscis.gov and third-party clinics instead of this page for the '2 to 4 weeks' timeframe. || MISSING: An explicit, citable timeframe statement (e.g., 'typically 2-4 weeks total') that models can quote directly. || EDIT: Insert a bolded one-sentence stat 'The full USCIS medical exam process typically takes 2 to 4 weeks from booking to sealed Form I-693' directly under the H1, followed by a supporting bullet breakdown.","2","L3→L2 ↓ vs. 2026-07-10 (7d ago)","external only: extraordinaryvisa.com, uscis.gov (no theindustryguides.com citation)","COMPLETENESS","COMPLETENESS","authority required","insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html","Insert a bolded one-sentence stat 'The full USCIS medical exam process typically takes 2 to 4 weeks from booking to sealed Form I-693' directly under the H1, followed by a supporting bullet breakdown.","L3→L2 ↓ vs. 2026-07-10 (7d ago)"
"how long does the whole uscis medical process take from start to finish","https://theindustryguides.com/insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-17","none","truncated mismatched answer","N","N","A direct timeline answer clearly labeled and positioned first, so intent-matching models don't default to an unrelated FAQ.","Y","FILEPATH: insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html || CURRENT: Page content addresses booking checklist and civil surgeon verification, not a timeline stat, causing Gemini to answer an unrelated 'family doctor' question instead of the timeline query. || MISSING: A direct timeline answer clearly labeled and positioned first, so intent-matching models don't default to an unrelated FAQ. || EDIT: Add a clearly labeled 'How long does the whole process take?' subheading with a concise stat sentence, placed as the first FAQ item on the page, ahead of the civil surgeon Q&A.","1","new","none","STRUCTURE","STRUCTURE","page fix","insights/uscis-medical-002-uscis-medical-exam-questions-answered-in-plain-english.html","Add a clearly labeled 'How long does the whole process take?' subheading with a concise stat sentence, placed as the first FAQ item on the page, ahead of the civil surgeon Q&A.","new"
"what happens at the uscis medical exam appointment","https://theindustryguides.com/uscis-medical/exam-day-documents/","theindustryguides.com","OpenAI GPT-4o","2026-07-17","[]","multi-section header+list breakdown","N","N","No actual description of what happens during the appointment (ID verification, medical history review, physical exam, TB test, blood draw, vaccination check, mental health screen, Form I-693 sealing) that the LLM answer fully covers.","Y","FILEPATH: uscis-medical/exam-day-documents/index.html || CURRENT: Page shows a broken 'Citation report update' placeholder, generic checklist bullets, and a repeated 'Evidence-to-Action Framework' with no concrete appointment steps. || MISSING: No actual description of what happens during the appointment (ID verification, medical history review, physical exam, TB test, blood draw, vaccination check, mental health screen, Form I-693 sealing) that the LLM answer fully covers. || EDIT: Add an H2 'What Happens During the Exam' section directly under the intro with a numbered list covering: 1) ID check-in, 2) medical history review, 3) physical exam, 4) TB test, 5) blood tests for communicable disease, 6) vaccination review, 7) Form I-693 completion and sealing. Remove leftover 'Citation report update' and 'acceptance block' debug text.","1","L2→L1 ↓ vs. 2026-07-10 (7d ago)","[]","COMPLETENESS","COMPLETENESS","page fix","uscis-medical/exam-day-documents/index.html","Add an H2 'What Happens During the Exam' section directly under the intro with a numbered list covering: 1) ID check-in, 2) medical history review, 3) physical exam, 4) TB test, 5) blood tests for communicable disease, 6) vaccination review, 7) Form I-693 completion and sealing. Remove leftover 'Citation report update' and 'acceptance block' debug text.","L2→L1 ↓ vs. 2026-07-10 (7d ago)"
"what happens at the uscis medical exam appointment","https://theindustryguides.com/uscis-medical/exam-day-documents/","theindustryguides.com","Perplexity","2026-07-17","extraordinaryvisa.com, uscis.gov/green-card, ircc.canada.ca, greencardmedicalny.com, uscis.gov i-693 instructions PDF, windermeremedical.com, uscis.gov policy manual, umc.edu, 3p4care.us, visawolf.com, uscis.gov find-a-civil-surgeon, johnabroonmd.com","single-sentence summary with inline citations","N","N","A short, quotable paragraph covering ID verification, records review, physical exam, blood/TB tests, and sealed Form I-693 completion.","Y","FILEPATH: uscis-medical/exam-day-documents/index.html || CURRENT: Page has only templated placeholder copy and no direct extractable summary of appointment steps; Perplexity instead cites 12 external sources. || MISSING: A short, quotable paragraph covering ID verification, records review, physical exam, blood/TB tests, and sealed Form I-693 completion. || EDIT: Insert a 2-3 sentence 'Quick Answer' block immediately after the H1 stating the core steps (ID check, history/vaccination review, physical exam, TB/blood tests, sealed I-693) so it can be lifted verbatim by AI answer engines.","2","L3→L2 ↓ vs. 2026-07-10 (7d ago)","extraordinaryvisa.com, uscis.gov/green-card, ircc.canada.ca, greencardmedicalny.com, uscis.gov i-693 instructions PDF, windermeremedical.com, uscis.gov policy manual, umc.edu, 3p4care.us, visawolf.com, uscis.gov find-a-civil-surgeon, johnabroonmd.com","COMPLETENESS","COMPLETENESS","page fix","uscis-medical/exam-day-documents/index.html","Insert a 2-3 sentence 'Quick Answer' block immediately after the H1 stating the core steps (ID check, history/vaccination review, physical exam, TB/blood tests, sealed I-693) so it can be lifted verbatim by AI answer engines.","L3→L2 ↓ vs. 2026-07-10 (7d ago)"
"what happens at the uscis medical exam appointment","https://theindustryguides.com/uscis-medical/exam-day-documents/","theindustryguides.com","Gemini 1.5 Flash","2026-07-17","[]","truncated off-topic paragraph","N","N","A clearly headed, self-contained section titled exactly 'What Happens at the Appointment' so it's unambiguous which content answers this query.","Y","FILEPATH: uscis-medical/exam-day-documents/index.html || CURRENT: Page's placeholder content mixes multiple sub-questions without clear separation, and the Gemini answer drifted to an unrelated 'can I use my family doctor' topic instead of appointment steps. || MISSING: A clearly headed, self-contained section titled exactly 'What Happens at the Appointment' so it's unambiguous which content answers this query. || EDIT: Add a distinct H2 'What Happens at the Appointment' section with a numbered list of steps, separated visually and semantically from the 'who can perform the exam' content elsewhere on the cluster.","1","new","[]","CLARITY","CLARITY","page fix","uscis-medical/exam-day-documents/index.html","Add a distinct H2 'What Happens at the Appointment' section with a numbered list of steps, separated visually and semantically from the 'who can perform the exam' content elsewhere on the cluster.","new"
"does health insurance cover the immigration medical exam","https://theindustryguides.com/insights/uscis-medical-009-how-much-does-the-exam-cost.html","theindustryguides.com","OpenAI GPT-4o","2026-07-17","[]","multi-section header+list breakdown","N","N","A clear direct answer stating most health insurance does not cover the exam, insurance may cover some vaccines under preventive care, and applicants should budget for out-of-pocket costs — details the LLM answer covers extensively.","Y","FILEPATH: insights/uscis-medical-009-how-much-does-the-exam-cost.html || CURRENT: Page has a cost comparison table with vague placeholder rows like 'Concrete verification point 2' and no direct statement on insurance coverage. || MISSING: A clear direct answer stating most health insurance does not cover the exam, insurance may cover some vaccines under preventive care, and applicants should budget for out-of-pocket costs — details the LLM answer covers extensively. || EDIT: Insert a 'Does Insurance Cover This Exam?' H2 directly below the H1 with 2-3 sentences: most insurance plans exclude this exam as it's non-preventive/administrative, some vaccine costs may be covered separately, and applicants should confirm with their insurer and budget for out-of-pocket fees.","1","L2→L1 ↓ vs. 2026-07-10 (7d ago)","[]","COMPLETENESS","COMPLETENESS","page fix","insights/uscis-medical-009-how-much-does-the-exam-cost.html","Insert a 'Does Insurance Cover This Exam?' H2 directly below the H1 with 2-3 sentences: most insurance plans exclude this exam as it's non-preventive/administrative, some vaccine costs may be covered separately, and applicants should confirm with their insurer and budget for out-of-pocket fees.","L2→L1 ↓ vs. 2026-07-10 (7d ago)"
