Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
"how to evaluate a TRT clinic","https://theindustryguides.com/insights/trt-001-the-industry-guides-trt-clinic-evaluation-framework.html","theindustryguides.com","GPT-4o","2026-07-01","[]","paragraph list","N","N","LLM outputs provide generic clinic evaluation criteria without citing or mirroring theindustryguides.com framework language or structure.","Y","FILEPATH: insights/trt-001-the-industry-guides-trt-clinic-evaluation-framework.html || CURRENT: Provides a multi-criteria framework for evaluating TRT clinics covering physician credentials, monitoring, and delivery methods. || MISSING: LLM responses list evaluation criteria without attributing any structured framework to theindustryguides.com; no phrasing or source is reused. || EDIT: Add an H2 section 'How to Evaluate a TRT Clinic: The Industry Guides Framework' with a numbered checklist and a callout box linking to trt-002 and trt-003, using match-intent phrasing that mirrors common LLM output patterns such as 'questions to ask', 'red flags', and 'monitoring protocol'.",1,"new","","weak incumbent","structure","page fix","insights/trt-001-the-industry-guides-trt-clinic-evaluation-framework.html","Add an H2 section 'How to Evaluate a TRT Clinic: The Industry Guides Framework' with a numbered checklist and a callout box linking to trt-002 and trt-003, using match-intent phrasing that mirrors common LLM output patterns such as 'questions to ask', 'red flags', and 'monitoring protocol'.","new"
"how to compare TRT clinics in 2026","https://theindustryguides.com/insights/trt-002-how-to-compare-trt-clinics-in-2026.html","theindustryguides.com","GPT-4o","2026-07-01","[]","paragraph list","N","N","LLM responses offer comparison guidance without citing or reusing content from trt-002.","Y","FILEPATH: insights/trt-002-how-to-compare-trt-clinics-in-2026.html || CURRENT: Covers how to compare TRT clinics across multiple dimensions including cost, telehealth availability, and monitoring. || MISSING: LLM responses do not reference or cite the 2026-specific framework on theindustryguides.com; no phrasing reuse detected. || EDIT: Add a visually scannable comparison table under a new H2 'TRT Clinic Comparison: 2026 Criteria' with columns for Category, What to Look For, and Red Flag Signals. Include internal links to trt-015 (red flags) and trt-008 (how to choose a provider).",1,"new","","weak incumbent","completeness","page fix","insights/trt-002-how-to-compare-trt-clinics-in-2026.html","Add a visually scannable comparison table under a new H2 'TRT Clinic Comparison: 2026 Criteria' with columns for Category, What to Look For, and Red Flag Signals. Include internal links to trt-015 (red flags) and trt-008 (how to choose a provider).","new"
"how to compare local TRT clinic options using a checklist","https://theindustryguides.com/insights/trt-003-how-to-compare-local-options-using-a-real-decision-checklist.html","theindustryguides.com","GPT-4o","2026-07-01","[]","paragraph list","N","N","LLM outputs give generic local clinic advice without referencing or citing the checklist page on theindustryguides.com.","Y","FILEPATH: insights/trt-003-how-to-compare-local-options-using-a-real-decision-checklist.html || CURRENT: Provides a decision checklist for comparing local TRT clinic options. || MISSING: LLM responses do not reference a checklist framework or local-comparison methodology from theindustryguides.com. || EDIT: Add an H2 'Local TRT Clinic Decision Checklist' with a formatted checklist block (checkbox-style HTML list), and a meta description update to include 'decision checklist for local TRT clinics 2026' to improve SERP snippet alignment with query intent.",1,"new","","no incumbent","structure","page fix","insights/trt-003-how-to-compare-local-options-using-a-real-decision-checklist.html","Add an H2 'Local TRT Clinic Decision Checklist' with a formatted checklist block (checkbox-style HTML list), and a meta description update to include 'decision checklist for local TRT clinics 2026' to improve SERP snippet alignment with query intent.","new"
"what to verify before starting testosterone treatment","https://theindustryguides.com/insights/trt-004-what-to-verify-before-starting-testosterone-treatment.html","theindustryguides.com","GPT-4o","2026-07-01","[]","paragraph list","N","N","LLM outputs provide pre-treatment advice without citing theindustryguides.com verification framework.","Y","FILEPATH: insights/trt-004-what-to-verify-before-starting-testosterone-treatment.html || CURRENT: Covers pre-treatment verification steps for testosterone therapy including labs and physician review. || MISSING: LLM responses list pre-treatment steps without citing or attributing any source; theindustryguides.com content is not referenced. || EDIT: Add a structured H2 'Pre-Treatment Verification Checklist' with numbered steps (baseline labs, physician credentials check, treatment plan review, follow-up schedule confirmation) and an internal link to trt-030 (labs that matter for TRT monitoring).",1,"new","","weak incumbent","completeness","page fix","insights/trt-004-what-to-verify-before-starting-testosterone-treatment.html","Add a structured H2 'Pre-Treatment Verification Checklist' with numbered steps (baseline labs, physician credentials check, treatment plan review, follow-up schedule confirmation) and an internal link to trt-030 (labs that matter for TRT monitoring).","new"
"how to choose a TRT provider","https://theindustryguides.com/insights/trt-008-how-to-choose-a-trt-provider.html","theindustryguides.com","GPT-4o","2026-07-01","[]","paragraph list","N","N","LLM outputs provide provider selection advice without citing trt-008.","Y","FILEPATH: insights/trt-008-how-to-choose-a-trt-provider.html || CURRENT: Covers factors for selecting a TRT provider including credentials, monitoring, and costs. || MISSING: LLM responses provide provider-selection guidance without citing theindustryguides.com; page lacks the step-by-step structure LLMs tend to replicate and cite. || EDIT: Add a step-by-step numbered section under H2 'Choosing a TRT Provider in 2026' with explicit sub-headers for each criterion, and add FAQ schema markup answering 'How do I choose a TRT provider?' directly on-page to capture AI Overview pull-through.",1,"new","","weak incumbent","structure","page fix","insights/trt-008-how-to-choose-a-trt-provider.html","Add a step-by-step numbered section under H2 'Choosing a TRT Provider in 2026' with explicit sub-headers for each criterion, and add FAQ schema markup answering 'How do I choose a TRT provider?' directly on-page to capture AI Overview pull-through.","new"
"what questions should I ask a TRT clinic at the first consultation","https://theindustryguides.com/insights/trt-012-what-questions-should-i-ask-a-trt-clinic-at-the-first-consultation.html","theindustryguides.com","Perplexity","2026-07-01","[]","paragraph list","N","N","LLM outputs produce first-consultation question lists without referencing trt-012.","Y","FILEPATH: insights/trt-012-what-questions-should-i-ask-a-trt-clinic-at-the-first-consultation.html || CURRENT: Lists questions to ask a TRT clinic at the first consultation. || MISSING: LLM responses generate their own question lists without citing or attributing theindustryguides.com; the page lacks FAQ schema and LLM-optimized formatting. || EDIT: Restructure questions as an FAQ block with schema markup, add a section 'What Good Answers Look Like' and 'Red Flag Responses', and link internally to trt-015 (red flags) and trt-001 (evaluation framework).",1,"new","","weak incumbent","structure","page fix","insights/trt-012-what-questions-should-i-ask-a-trt-clinic-at-the-first-consultation.html","Restructure questions as an FAQ block with schema markup, add a section 'What Good Answers Look Like' and 'Red Flag Responses', and link internally to trt-015 (red flags) and trt-001 (evaluation framework).","new"
"TRT clinic red flags to avoid","https://theindustryguides.com/insights/trt-015-trt-clinic-red-flags-to-avoid-in-2026.html","theindustryguides.com","GPT-4o","2026-07-01","[]","paragraph list","N","N","LLM outputs list TRT clinic red flags without citing trt-015 despite high content relevance.","Y","FILEPATH: insights/trt-015-trt-clinic-red-flags-to-avoid-in-2026.html || CURRENT: Covers red flags to watch for when selecting a TRT clinic in 2026. || MISSING: LLM responses enumerate red flags without citing theindustryguides.com; the page is not appearing as a cited source despite strong query-content alignment. || EDIT: Update H1 to 'TRT Clinic Red Flags to Avoid in 2026 (Complete List)' and add FAQ schema with questions like 'What are red flags at a TRT clinic?' and 'How do I know if a TRT clinic is legitimate?' to improve AI Overview pull-through.",1,"new","","medium incumbent","clarity","free win","insights/trt-015-trt-clinic-red-flags-to-avoid-in-2026.html","Update H1 to 'TRT Clinic Red Flags to Avoid in 2026 (Complete List)' and add FAQ schema with questions like 'What are red flags at a TRT clinic?' and 'How do I know if a TRT clinic is legitimate?' to improve AI Overview pull-through.","new"
"is it safe to buy testosterone online","https://theindustryguides.com/insights/trt-020-is-it-safe-to-buy-testosterone-online.html","theindustryguides.com","GPT-4o","2026-07-01","[]","paragraph list","N","N","LLM outputs cover online testosterone safety without citing trt-020.","Y","FILEPATH: insights/trt-020-is-it-safe-to-buy-testosterone-online.html || CURRENT: Addresses the safety and legal considerations of buying testosterone online. || MISSING: LLM responses address online testosterone safety without citing theindustryguides.com; page lacks FAQ schema and 2026-anchored regulatory context. || EDIT: Add an H2 'Buying Testosterone Online in 2026: What the Rules Say' with current regulatory framing, a risk checklist, and FAQ schema entries for 'Is it legal to buy testosterone online?' and 'How do I verify an online TRT clinic is legitimate?'",1,"new","","weak incumbent","completeness","page fix","insights/trt-020-is-it-safe-to-buy-testosterone-online.html","Add an H2 'Buying Testosterone Online in 2026: What the Rules Say' with current regulatory framing, a risk checklist, and FAQ schema entries for 'Is it legal to buy testosterone online?' and 'How do I verify an online TRT clinic is legitimate?'","new"
"TRT injections vs gel how to decide","https://theindustryguides.com/insights/trt-022-trt-injections-vs-gel-how-to-decide.html","theindustryguides.com","GPT-4o","2026-07-01","[]","paragraph list","N","N","LLM outputs compare TRT delivery methods without citing trt-022.","Y","FILEPATH: insights/trt-022-trt-injections-vs-gel-how-to-decide.html || CURRENT: Compares TRT injections and gel across multiple factors to help patients decide. || MISSING: LLM responses provide injection vs gel comparisons without citing theindustryguides.com; page lacks a scannable comparison table format that LLMs tend to replicate. || EDIT: Add an HTML comparison table under 'TRT Injections vs Gel: Key Differences' H2 with columns for Factor, Injections, Gel. Add a 'How to Decide' H2 sub-section with a decision tree or conditional checklist. Link to trt-025 for cost context.",1,"new","","weak incumbent","structure","page fix","insights/trt-022-trt-injections-vs-gel-how-to-decide.html","Add an HTML comparison table under 'TRT Injections vs Gel: Key Differences' H2 with columns for Factor, Injections, Gel. Add a 'How to Decide' H2 sub-section with a decision tree or conditional checklist. Link to trt-025 for cost context.","new"
"how to manage TRT costs and insurance coverage","https://theindustryguides.com/insights/trt-025-how-to-manage-trt-costs-and-insurance-coverage.html","theindustryguides.com","Perplexity","2026-07-01","[]","paragraph list","N","N","LLM outputs cover TRT costs and insurance without citing trt-025.","Y","FILEPATH: insights/trt-025-how-to-manage-trt-costs-and-insurance-coverage.html || CURRENT: Covers strategies for managing TRT costs and navigating insurance coverage. || MISSING: LLM responses address TRT cost and insurance without citing theindustryguides.com; page lacks a structured cost table and FAQ schema for AI citation pull-through. || EDIT: Add a 2026-anchored cost table under H2 'TRT Cost Breakdown 2026' with rows for delivery method and insurance status, and add FAQ schema entries for the two highest-volume cost questions.",1,"new","","weak incumbent","completeness","page fix","insights/trt-025-how-to-manage-trt-costs-and-insurance-coverage.html","Add a 2026-anchored cost table under H2 'TRT Cost Breakdown 2026' with rows for delivery method and insurance status, and add FAQ schema entries for the two highest-volume cost questions.","new"
