implementation_path,title,artifact_types,required_strings_count,canonicalized_from,generic_agent_framework_present,status
insights/neuro-001-decision-tree-adhd-vs-autism-vs-broader-neuro-evaluation.html,Decision tree: ADHD vs autism vs broader neuro evaluation,"callout, comparison_table, protocol",6,,NO,PASS
insights/neuro-002-what-to-do-when-adhd-and-autism-symptoms-overlap.html,What to do when ADHD and autism symptoms overlap,"callout, comparison_table",3,,NO,PASS
insights/neuro-003-session-by-session-walkthrough-what-to-expect.html,Session-by-session walkthrough: what to expect,"protocol, timeline_table",2,,NO,PASS
insights/neuro-004-how-to-choose-the-right-neuropsych-evaluation-path.html,How to choose the right neuropsych evaluation path,"comparison_table, protocol",3,,NO,PASS
insights/neuro-005-how-to-compare-local-options-using-a-real-decision-checklist.html,How to compare local options using a real decision checklist,"callout, comparison_table, source_block",4,,NO,PASS
insights/neuro-006-how-to-compare-adhd-testing-options-before-booking.html,How to compare ADHD testing options before booking,"callout, comparison_table, cost_table",4,,NO,PASS
insights/neuro-007-what-to-verify-before-booking-child-neuropsych-testing.html,What to verify before booking child neuropsych testing,"callout, comparison_table",8,insights/neuro-007-what-to-verify-before-booking-child-neuropsych-testi.html,NO,PASS
insights/neuro-008-what-to-verify-before-booking-concussion-testing.html,What to verify before booking concussion testing with a neuropsychologist,"comparison_table, protocol",3,,NO,PASS
insights/neuro-009-how-much-does-a-neuropsych-eval-cost.html,How much does a neuropsych eval cost out of pocket,"callout, cost_table",3,,NO,PASS
insights/neuro-012-neuro-eval-red-flags.html,Red flags to watch out for when choosing a neuropsych evaluator,"severity_matrix, source_block",3,,NO,PASS
insights/neuro-013-how-to-compare-providers-fast.html,How to compare neuropsych evaluation providers fast,"callout, comparison_table",3,,NO,PASS
insights/neuro-021-how-to-use-results-for-accommodations.html,How to use neuropsych evaluation results to get school accommodations,"checklist, comparison_table, protocol",3,,NO,PASS
insights/neuro-023-neuropsych-evaluation-for-adults-vs-kids.html,Neuropsych evaluation for adults vs kids: what is different,"comparison_table, protocol, source_block",6,,NO,PASS
insights/neuro-025-neuropsych-telehealth-what-parts-can-be-remote.html,Which parts of a neuropsychological evaluation can be done via telehealth,"callout, checklist, comparison_table",3,,NO,PASS
insights/neuro-026-how-to-choose-if-you-have-a-deadline.html,How to choose a neuropsych evaluator fast when you have a school deadline,"comparison_table, script, timeline_table",3,,NO,PASS
insights/neuro-027-how-to-ask-for-a-price-estimate.html,How to ask a neuropsych provider for a price estimate before committing,"cost_table, script, source_block",3,,NO,PASS
insights/neuro-032-child-specialist-anxiety-vs-adhd-eval-near-me.html,Child specialist for anxiety vs ADHD evaluation near me: who should I see,"checklist, comparison_table",3,,NO,PASS
neuro/community-questions/we-actually-only-uncovered-the-asd-in-a-recent-neuropsych-evaluation-because-he-is-highly-/index.html,High-functioning ASD uncovered by neuropsych evaluation,"callout, comparison_table, protocol",4,,NO,PASS
