"Query","Intended Winner Page","Surface","Model","Date","Cited Sources","Answer Shape","Reused My Phrasing (Y/N)","Used My Logic (Y/N)","Gap Found","Patch Needed (Y/N)","Fix Recommendation","Progress Level (1-4)","Week-over-Week Change","Competitor Authority Signals","Gap Type","Primary Fix Type","Action Tier","Repo File Path","Edit Instruction","Week Over Week"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'best TRT clinic near me'.","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'best TRT clinic near me'.","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"best TRT clinic near me","Best TRT Clinic Near Me","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'best TRT clinic near me'.","Y","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L2 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/best-top-near-me/index.html || CURRENT: H2 headings cover general Best TRT Clinic Near Me guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best TRT clinic near me' || EDIT: Add a dedicated H2 section titled 'Best TRT Clinic Near Me: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L2 (unchanged vs. 2026-07-29)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'best way to compare TRT clinics in 2026'.","Y","FILEPATH: insights/trt-002-how-to-compare-trt-clinics-in-2026.html || CURRENT: H2 headings cover general How to Compare TRT Clinics in 2026 guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best way to compare TRT clinics in 2026' || EDIT: Add a dedicated H2 section titled 'How to Compare TRT Clinics in 2026: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-002-how-to-compare-trt-clinics-in-2026.html || CURRENT: H2 headings cover general How to Compare TRT Clinics in 2026 guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best way to compare TRT clinics in 2026' || EDIT: Add a dedicated H2 section titled 'How to Compare TRT Clinics in 2026: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","Y","N","Missing concise direct answer block and structured decision framework for 'best way to compare TRT clinics in 2026'.","Y","FILEPATH: insights/trt-002-how-to-compare-trt-clinics-in-2026.html || CURRENT: H2 headings cover general How to Compare TRT Clinics in 2026 guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best way to compare TRT clinics in 2026' || EDIT: Add a dedicated H2 section titled 'How to Compare TRT Clinics in 2026: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L2 (unchanged vs. 2026-07-29)","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-002-how-to-compare-trt-clinics-in-2026.html || CURRENT: H2 headings cover general How to Compare TRT Clinics in 2026 guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best way to compare TRT clinics in 2026' || EDIT: Add a dedicated H2 section titled 'How to Compare TRT Clinics in 2026: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L2 (unchanged vs. 2026-07-29)"
"best way to compare TRT clinics in 2026","How to Compare TRT Clinics in 2026","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'best way to compare TRT clinics in 2026'.","Y","FILEPATH: insights/trt-002-how-to-compare-trt-clinics-in-2026.html || CURRENT: H2 headings cover general How to Compare TRT Clinics in 2026 guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best way to compare TRT clinics in 2026' || EDIT: Add a dedicated H2 section titled 'How to Compare TRT Clinics in 2026: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L2 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: insights/trt-002-how-to-compare-trt-clinics-in-2026.html || CURRENT: H2 headings cover general How to Compare TRT Clinics in 2026 guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'best way to compare TRT clinics in 2026' || EDIT: Add a dedicated H2 section titled 'How to Compare TRT Clinics in 2026: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L2 (unchanged vs. 2026-07-29)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'can TRT worsen sleep apnea symptoms'.","Y","FILEPATH: insights/trt-020-trt-and-sleep-apnea-what-to-ask.html || CURRENT: H2 headings cover general TRT and Sleep Apnea: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can TRT worsen sleep apnea symptoms' || EDIT: Add a dedicated H2 section titled 'TRT and Sleep Apnea: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-020-trt-and-sleep-apnea-what-to-ask.html || CURRENT: H2 headings cover general TRT and Sleep Apnea: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can TRT worsen sleep apnea symptoms' || EDIT: Add a dedicated H2 section titled 'TRT and Sleep Apnea: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'can TRT worsen sleep apnea symptoms'.","Y","FILEPATH: insights/trt-020-trt-and-sleep-apnea-what-to-ask.html || CURRENT: H2 headings cover general TRT and Sleep Apnea: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can TRT worsen sleep apnea symptoms' || EDIT: Add a dedicated H2 section titled 'TRT and Sleep Apnea: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","trtplug.com (Domain Rating 42, 18 citations)","strong incumbent","completeness","outperform","insights/trt-002.html","FILEPATH: insights/trt-020-trt-and-sleep-apnea-what-to-ask.html || CURRENT: H2 headings cover general TRT and Sleep Apnea: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can TRT worsen sleep apnea symptoms' || EDIT: Add a dedicated H2 section titled 'TRT and Sleep Apnea: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"can TRT worsen sleep apnea symptoms","TRT and Sleep Apnea: What to Ask","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'can TRT worsen sleep apnea symptoms'.","Y","FILEPATH: insights/trt-020-trt-and-sleep-apnea-what-to-ask.html || CURRENT: H2 headings cover general TRT and Sleep Apnea: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can TRT worsen sleep apnea symptoms' || EDIT: Add a dedicated H2 section titled 'TRT and Sleep Apnea: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L2 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: insights/trt-020-trt-and-sleep-apnea-what-to-ask.html || CURRENT: H2 headings cover general TRT and Sleep Apnea: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can TRT worsen sleep apnea symptoms' || EDIT: Add a dedicated H2 section titled 'TRT and Sleep Apnea: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L2 (unchanged vs. 2026-07-29)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'can low testosterone cause sudden anxiety and panic attacks'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general Can Low Testosterone Cause Sudden Anxiety and Panic Attacks guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can low testosterone cause sudden anxiety and panic attacks' || EDIT: Add a dedicated H2 section titled 'Can Low Testosterone Cause Sudden Anxiety and Panic Attacks: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general Can Low Testosterone Cause Sudden Anxiety and Panic Attacks guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can low testosterone cause sudden anxiety and panic attacks' || EDIT: Add a dedicated H2 section titled 'Can Low Testosterone Cause Sudden Anxiety and Panic Attacks: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'can low testosterone cause sudden anxiety and panic attacks'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general Can Low Testosterone Cause Sudden Anxiety and Panic Attacks guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can low testosterone cause sudden anxiety and panic attacks' || EDIT: Add a dedicated H2 section titled 'Can Low Testosterone Cause Sudden Anxiety and Panic Attacks: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","trtplug.com (Domain Rating 42, 18 citations)","medium incumbent","clarity","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general Can Low Testosterone Cause Sudden Anxiety and Panic Attacks guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can low testosterone cause sudden anxiety and panic attacks' || EDIT: Add a dedicated H2 section titled 'Can Low Testosterone Cause Sudden Anxiety and Panic Attacks: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"can low testosterone cause sudden anxiety and panic attacks","Can Low Testosterone Cause Sudden Anxiety and Panic Attacks","theindustryguides.com","Gemini 1.5 Flash","2026-08-05","","bulleted list with recommendations","Y","Y","Missing concise direct answer block and structured decision framework for 'can low testosterone cause sudden anxiety and panic attacks'.","Y","FILEPATH: trt/index.html || CURRENT: H2 headings cover general Can Low Testosterone Cause Sudden Anxiety and Panic Attacks guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can low testosterone cause sudden anxiety and panic attacks' || EDIT: Add a dedicated H2 section titled 'Can Low Testosterone Cause Sudden Anxiety and Panic Attacks: Direct Comparison' with a 5-point evaluation table directly under the main H1.","2","L1→L2 ↑ vs. 2026-07-29 (7d ago)","N/A","medium incumbent","structure","page fix","insights/trt-002.html","FILEPATH: trt/index.html || CURRENT: H2 headings cover general Can Low Testosterone Cause Sudden Anxiety and Panic Attacks guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'can low testosterone cause sudden anxiety and panic attacks' || EDIT: Add a dedicated H2 section titled 'Can Low Testosterone Cause Sudden Anxiety and Panic Attacks: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1→L2 ↑ vs. 2026-07-29 (7d ago)"
"does TRT affect fertility and sperm count","TRT and Fertility: What to Ask","theindustryguides.com","OpenAI GPT-4o","2026-08-05","","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'does TRT affect fertility and sperm count'.","Y","FILEPATH: insights/trt-019-trt-and-fertility-what-to-ask.html || CURRENT: H2 headings cover general TRT and Fertility: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does TRT affect fertility and sperm count' || EDIT: Add a dedicated H2 section titled 'TRT and Fertility: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","N/A","medium incumbent","structure","free win","insights/trt-002.html","FILEPATH: insights/trt-019-trt-and-fertility-what-to-ask.html || CURRENT: H2 headings cover general TRT and Fertility: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does TRT affect fertility and sperm count' || EDIT: Add a dedicated H2 section titled 'TRT and Fertility: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
"does TRT affect fertility and sperm count","TRT and Fertility: What to Ask","theindustryguides.com","Perplexity","2026-08-05","https://trtplug.com, https://thetrtsource.com","bulleted list with recommendations","N","N","Missing concise direct answer block and structured decision framework for 'does TRT affect fertility and sperm count'.","Y","FILEPATH: insights/trt-019-trt-and-fertility-what-to-ask.html || CURRENT: H2 headings cover general TRT and Fertility: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does TRT affect fertility and sperm count' || EDIT: Add a dedicated H2 section titled 'TRT and Fertility: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","1","L1 (unchanged vs. 2026-07-29)","trtplug.com (Domain Rating 42, 18 citations)","strong incumbent","completeness","outperform","insights/trt-002.html","FILEPATH: insights/trt-019-trt-and-fertility-what-to-ask.html || CURRENT: H2 headings cover general TRT and Fertility: What to Ask guidelines without structured decision tables || MISSING: Explicit bulleted checklist and direct answer block for 'does TRT affect fertility and sperm count' || EDIT: Add a dedicated H2 section titled 'TRT and Fertility: What to Ask: Direct Comparison' with a 5-point evaluation table directly under the main H1.","L1 (unchanged vs. 2026-07-29)"
