kind,path,url,vertical,title,query_count,status,source
page,dentistry/index.html,https://theindustryguides.com/dentistry/,dentistry,Dentistry Atlas (Quick Answers),65,active,content/_live/pages.json
page,dentistry/anxiety-trust/index.html,https://theindustryguides.com/dentistry/anxiety-trust/,dentistry,Dentistry: Anxiety & Trust,27,active,content/_live/pages.json
page,dentistry/best-top-near-me/index.html,https://theindustryguides.com/dentistry/best-top-near-me/,dentistry,Dentistry Provider Selection Guide,27,active,content/_live/pages.json
page,dentistry/choosing-a-dentist/index.html,https://theindustryguides.com/dentistry/choosing-a-dentist/,dentistry,How to Choose the Right Dentist,5,active,content/_live/pages.json
page,dentistry/clear-aligners/index.html,https://theindustryguides.com/dentistry/clear-aligners/,dentistry,Clear Aligners vs Braces Questions,4,active,content/_live/pages.json
page,dentistry/cosmetic-restorative/index.html,https://theindustryguides.com/dentistry/cosmetic-restorative/,dentistry,Cosmetic & Restorative Dentistry Questions,5,active,content/_live/pages.json
page,dentistry/cost-financing/index.html,https://theindustryguides.com/dentistry/cost-financing/,dentistry,Dental Implant Cost & Financing Questions,6,active,content/_live/pages.json
page,dentistry/cost-insurance/index.html,https://theindustryguides.com/dentistry/cost-insurance/,dentistry,Dentistry: Cost & Insurance,26,active,content/_live/pages.json
page,dentistry/dental-bridge-vs-implant/index.html,https://theindustryguides.com/dentistry/dental-bridge-vs-implant/,dentistry,Dental Bridge vs Implant Questions,4,active,content/_live/pages.json
page,dentistry/dental-red-flags/index.html,https://theindustryguides.com/dentistry/dental-red-flags/,dentistry,Dental Red Flags Questions,4,active,content/_live/pages.json
page,dentistry/emergency-open-now/index.html,https://theindustryguides.com/dentistry/emergency-open-now/,dentistry,Dentistry: Emergency & Open Now,25,active,content/_live/pages.json
page,dentistry/insurance-billing/index.html,https://theindustryguides.com/dentistry/insurance-billing/,dentistry,Dental Insurance & Billing Questions,4,active,content/_live/pages.json
page,dentistry/pediatric-family/index.html,https://theindustryguides.com/dentistry/pediatric-family/,dentistry,Pediatric & Family Dentistry Questions,5,active,content/_live/pages.json
page,dentistry/recovery-aftercare/index.html,https://theindustryguides.com/dentistry/recovery-aftercare/,dentistry,Dental Recovery & Aftercare Questions,4,active,content/_live/pages.json
page,dentistry/root-canal-treatment/index.html,https://theindustryguides.com/dentistry/root-canal-treatment/,dentistry,Root Canal Pain & Timeline Questions,5,active,content/_live/pages.json
page,dentistry/specialists/index.html,https://theindustryguides.com/dentistry/specialists/,dentistry,Dentistry: Specialists,25,active,content/_live/pages.json
page,dentistry/treatment-comparison/index.html,https://theindustryguides.com/dentistry/treatment-comparison/,dentistry,Dental Treatment Comparison Questions,4,active,content/_live/pages.json
page,neuro/index.html,https://theindustryguides.com/neuro/,neuro,Neuropsych Evaluation Intake & Provider Comparison Guide,68,active,content/_live/pages.json
page,neuro/adhd-testing/index.html,https://theindustryguides.com/neuro/adhd-testing/,neuro,ADHD Testing Questions,5,active,content/_live/pages.json
page,neuro/adhd-therapy-selection/index.html,https://theindustryguides.com/neuro/adhd-therapy-selection/,neuro,ADHD Therapy Selection Questions,6,active,content/_live/pages.json
page,neuro/adult-vs-child/index.html,https://theindustryguides.com/neuro/adult-vs-child/,neuro,Adult vs Child Evaluation Questions,4,active,content/_live/pages.json
page,neuro/autism-evaluation/index.html,https://theindustryguides.com/neuro/autism-evaluation/,neuro,Autism Evaluation Questions,4,active,content/_live/pages.json
page,neuro/autism-therapy-selection/index.html,https://theindustryguides.com/neuro/autism-therapy-selection/,neuro,Autism Therapy Selection Questions,6,active,content/_live/pages.json
page,neuro/best-top-near-me/index.html,https://theindustryguides.com/neuro/best-top-near-me/,neuro,Neuro Evaluation & Therapy Selection Guide,32,active,content/_live/pages.json
page,neuro/cost-timeline/index.html,https://theindustryguides.com/neuro/cost-timeline/,neuro,Neuro: Cost & Timeline,30,active,content/_live/pages.json
page,neuro/insurance-school-docs/index.html,https://theindustryguides.com/neuro/insurance-school-docs/,neuro,"Insurance, School & Documentation Questions",4,active,content/_live/pages.json
page,neuro/report-results/index.html,https://theindustryguides.com/neuro/report-results/,neuro,Testing Results & Report Questions,4,active,content/_live/pages.json
page,neuro/situations/index.html,https://theindustryguides.com/neuro/situations/,neuro,Neuro: Common Situations,27,active,content/_live/pages.json
page,neuro/therapy-after-evaluation/index.html,https://theindustryguides.com/neuro/therapy-after-evaluation/,neuro,Therapy After Evaluation Questions,6,active,content/_live/pages.json
page,neuro/therapy-red-flags-and-fit/index.html,https://theindustryguides.com/neuro/therapy-red-flags-and-fit/,neuro,Therapy Red Flags & Fit Questions,6,active,content/_live/pages.json
page,neuro/trust-questions/index.html,https://theindustryguides.com/neuro/trust-questions/,neuro,Neuro: Trust & Questions to Ask,29,active,content/_live/pages.json
page,personal-injury/index.html,https://theindustryguides.com/personal-injury/,personal_injury,Personal Injury Claim Lifecycle & Lawyer Comparison Guide,74,active,content/_live/pages.json
page,personal-injury/best-top-near-me/index.html,https://theindustryguides.com/personal-injury/best-top-near-me/,personal_injury,How to Find a Good Personal Injury Lawyer Near You,4,active,content/_live/pages.json
page,personal-injury/cost-fees/index.html,https://theindustryguides.com/personal-injury/cost-fees/,personal_injury,Personal Injury Lawyer Cost & Contingency Fee Questions,4,active,content/_live/pages.json
page,personal-injury/evidence-documents/index.html,https://theindustryguides.com/personal-injury/evidence-documents/,personal_injury,"Evidence, Records & Paperwork Questions",6,active,content/_live/pages.json
page,personal-injury/insurance-fault/index.html,https://theindustryguides.com/personal-injury/insurance-fault/,personal_injury,Should You Give a Recorded Statement After an Accident?,4,active,content/_live/pages.json
page,personal-injury/medical-treatment/index.html,https://theindustryguides.com/personal-injury/medical-treatment/,personal_injury,Medical Treatment & Care Questions After an Injury,6,active,content/_live/pages.json
page,personal-injury/process-timeline/index.html,https://theindustryguides.com/personal-injury/process-timeline/,personal_injury,How Long Does a Personal Injury Lawsuit Take?,4,active,content/_live/pages.json
page,personal-injury/questions-to-ask/index.html,https://theindustryguides.com/personal-injury/questions-to-ask/,personal_injury,Questions to Ask a Personal Injury Lawyer,4,active,content/_live/pages.json
page,personal-injury/settlement-offers/index.html,https://theindustryguides.com/personal-injury/settlement-offers/,personal_injury,How to Tell Whether a Settlement Offer Is Fair,8,active,content/_live/pages.json
page,personal-injury/situations/index.html,https://theindustryguides.com/personal-injury/situations/,personal_injury,Can You File a Personal Injury Claim in This Situation?,4,active,content/_live/pages.json
page,personal-injury/switching-lawyers/index.html,https://theindustryguides.com/personal-injury/switching-lawyers/,personal_injury,Switching Personal Injury Lawyers & Replacing Bad Fit Counsel,4,active,content/_live/pages.json
page,personal-injury/trust-red-flags/index.html,https://theindustryguides.com/personal-injury/trust-red-flags/,personal_injury,Personal Injury Lawyer Red Flags & Trust Questions,4,active,content/_live/pages.json
page,trt/index.html,https://theindustryguides.com/trt/,trt,TRT Clinic Evaluation Framework & Monitoring Questions,65,active,content/_live/pages.json
page,trt/best-top-near-me/index.html,https://theindustryguides.com/trt/best-top-near-me/,trt,TRT Provider Selection Guide,26,active,content/_live/pages.json
page,trt/clinic-selection/index.html,https://theindustryguides.com/trt/clinic-selection/,trt,TRT Clinic Selection Questions,4,active,content/_live/pages.json
page,trt/cost-insurance/index.html,https://theindustryguides.com/trt/cost-insurance/,trt,TRT: Cost & Insurance,26,active,content/_live/pages.json
page,trt/fertility-pct/index.html,https://theindustryguides.com/trt/fertility-pct/,trt,"TRT Fertility, PCT & Family Planning Questions",4,active,content/_live/pages.json
