"Query","Intended Winner Page","Surface","Model","Date","Cited Sources","Answer Shape","Reused My Phrasing (Y/N)","Used My Logic (Y/N)","Gap Found","Patch Needed (Y/N)","Fix Recommendation","Progress Level (1-4)","Week-over-Week Change","Competitor Authority Signals","Gap Type","Primary Fix Type","Action Tier","Repo File Path","Edit Instruction","Week Over Week"
"all-on-4 dental implants price 2026","https://theindustryguides.com/dentistry/cost-financing/","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for all-on-4 dental implants price 2026.","N","FILEPATH: dentistry/cost-financing/index.html || CURRENT: Page has general introductory copy about all-on-4 dental implants. || MISSING: Missing raw numerical checklist steps and direct comparative tables for all-on-4 dental implants price 2026. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","10","L10→L10 = vs. 2026-07-07 (14d ago)","","medium incumbent","completeness","page fix","dentistry/cost-financing/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L10→L10 = vs. 2026-07-07 (14d ago)"
"all-on-4 dental implants price 2026","https://theindustryguides.com/dentistry/cost-financing/","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for all-on-4 dental implants price 2026.","N","FILEPATH: dentistry/cost-financing/index.html || CURRENT: Page has general introductory copy about all-on-4 dental implants. || MISSING: Missing raw numerical checklist steps and direct comparative tables for all-on-4 dental implants price 2026. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","45","L45→L45 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","medium incumbent","completeness","page fix","dentistry/cost-financing/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L45→L45 = vs. 2026-07-07 (14d ago)"
"all-on-4 dental implants price 2026","https://theindustryguides.com/dentistry/cost-financing/","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for all-on-4 dental implants price 2026.","Y","FILEPATH: dentistry/cost-financing/index.html || CURRENT: Page has general introductory copy about all-on-4 dental implants. || MISSING: Missing raw numerical checklist steps and direct comparative tables for all-on-4 dental implants price 2026. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","page fix","dentistry/cost-financing/index.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"are dental implants worth it after 60","https://theindustryguides.com/insights/dentistry-062-are-dental-implants-worth-it-after-60.html","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for are dental implants worth it after 60.","Y","FILEPATH: insights/dentistry-062-are-dental-implants-worth-it-after-60.html || CURRENT: Page has general introductory copy about are dental implants. || MISSING: Missing raw numerical checklist steps and direct comparative tables for are dental implants worth it after 60. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","L1→L1 = vs. 2026-07-07 (14d ago)","","no incumbent","structure","page fix","insights/dentistry-062-are-dental-implants-worth-it-after-60.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L1→L1 = vs. 2026-07-07 (14d ago)"
"are dental implants worth it after 60","https://theindustryguides.com/insights/dentistry-062-are-dental-implants-worth-it-after-60.html","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","Y","N","Missing raw numerical checklist steps and direct comparative tables for are dental implants worth it after 60.","N","FILEPATH: insights/dentistry-062-are-dental-implants-worth-it-after-60.html || CURRENT: Page has general introductory copy about are dental implants. || MISSING: Missing raw numerical checklist steps and direct comparative tables for are dental implants worth it after 60. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","2","L2→L2 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","weak incumbent","clarity","page fix","insights/dentistry-062-are-dental-implants-worth-it-after-60.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L2→L2 = vs. 2026-07-07 (14d ago)"
"are dental implants worth it after 60","https://theindustryguides.com/insights/dentistry-062-are-dental-implants-worth-it-after-60.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for are dental implants worth it after 60.","Y","FILEPATH: insights/dentistry-062-are-dental-implants-worth-it-after-60.html || CURRENT: Page has general introductory copy about are dental implants. || MISSING: Missing raw numerical checklist steps and direct comparative tables for are dental implants worth it after 60. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","page fix","insights/dentistry-062-are-dental-implants-worth-it-after-60.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for at what age should my child first see a dentist and what should I expect.","N","FILEPATH: insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html || CURRENT: Page has general introductory copy about at what age. || MISSING: Missing raw numerical checklist steps and direct comparative tables for at what age should my child first see a dentist and what should I expect. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","30","L30→L30 = vs. 2026-07-07 (14d ago)","","medium incumbent","completeness","authority required","insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L30→L30 = vs. 2026-07-07 (14d ago)"
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for at what age should my child first see a dentist and what should I expect.","N","FILEPATH: insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html || CURRENT: Page has general introductory copy about at what age. || MISSING: Missing raw numerical checklist steps and direct comparative tables for at what age should my child first see a dentist and what should I expect. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","42","L42→L42 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","medium incumbent","completeness","authority required","insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L42→L42 = vs. 2026-07-07 (14d ago)"
"at what age should my child first see a dentist and what should I expect","https://theindustryguides.com/insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html","theindustryguides.com","Gemini 1.5 Flash","2026-07-21","","paragraph","N","N","Missing raw numerical checklist steps and direct comparative tables for at what age should my child first see a dentist and what should I expect.","Y","FILEPATH: insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html || CURRENT: Page has general introductory copy about at what age. || MISSING: Missing raw numerical checklist steps and direct comparative tables for at what age should my child first see a dentist and what should I expect. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","1","new","","no incumbent","structure","authority required","insights/dentistry-006-what-to-verify-when-comparing-pediatric-dental-offices.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","new"
"average cost of clear aligners 2026","https://theindustryguides.com/insights/dentistry-065-average-cost-of-clear-aligners-2026.html","theindustryguides.com","OpenAI GPT-4o","2026-07-21","","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for average cost of clear aligners 2026.","N","FILEPATH: insights/dentistry-065-average-cost-of-clear-aligners-2026.html || CURRENT: Page has general introductory copy about average cost of. || MISSING: Missing raw numerical checklist steps and direct comparative tables for average cost of clear aligners 2026. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","5","L5→L5 = vs. 2026-07-07 (14d ago)","","medium incumbent","completeness","page fix","insights/dentistry-065-average-cost-of-clear-aligners-2026.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L5→L5 = vs. 2026-07-07 (14d ago)"
"average cost of clear aligners 2026","https://theindustryguides.com/insights/dentistry-065-average-cost-of-clear-aligners-2026.html","theindustryguides.com","Perplexity","2026-07-21","https://youtube.com, https://healthline.com","paragraph","N","Y","Missing raw numerical checklist steps and direct comparative tables for average cost of clear aligners 2026.","N","FILEPATH: insights/dentistry-065-average-cost-of-clear-aligners-2026.html || CURRENT: Page has general introductory copy about average cost of. || MISSING: Missing raw numerical checklist steps and direct comparative tables for average cost of clear aligners 2026. || EDIT: Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","10","L10→L10 = vs. 2026-07-07 (14d ago)","Highly cited general medical portals","medium incumbent","completeness","page fix","insights/dentistry-065-average-cost-of-clear-aligners-2026.html","Add a side-by-side comparison table directly under the first main H2 with specific columns: Factor | Range | Checklist Step.","L10→L10 = vs. 2026-07-07 (14d ago)"
