Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Week-over-Week Change,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Repo File Path,Edit Instruction,Week Over Week
do i need a personal injury lawyer after an accident,Do I need a personal injury lawyer?,theindustryguides.com,OpenAI GPT-4o,2026-07-06,,structured,Y,N,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html || CURRENT: Page contains structural scaffolding and checklist references but lacks substantive prose answering when/whether someone needs a lawyer after an accident. Direct answer section references a 'repair' instruction rather than actual content. GPT-4o response covers the topic comprehensively with no mention of this page. || MISSING: A clear two-column 'When to Consider a Lawyer / When You May Not Need One' table with populated rows, a direct prose answer to the query, and explicit decision signals (injury severity, fault disputes, insurer pressure) that match what GPT-4o surfaces. || EDIT: Replace the meta-repair scaffolding in the Direct Answer section with a 200-word prose answer directly addressing 'do i need a personal injury lawyer after an accident.' Add a populated two-column table: left column 'You may not need a lawyer if' (no injuries, minor damage, insurer offers fair settlement quickly); right column 'You should consider a lawyer when' (injuries exist, fault disputed, insurer requesting recorded statement, future damages likely). Add canonical handoff CTA linking to theaccidentguides.com/personal-injury/.",2,L15→L2 ↓ vs. 2026-06-29 (7d ago),,weak incumbent,COMPLETENESS,page fix,insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html,"Replace the meta-repair scaffolding in the Direct Answer section with a 200-word prose answer directly addressing 'do i need a personal injury lawyer after an accident.' Add a populated two-column table: left column 'You may not need a lawyer if' (no injuries, minor damage, insurer offers fair settlement quickly); right column 'You should consider a lawyer when' (injuries exist, fault disputed, insurer requesting recorded statement, future damages likely). Add canonical handoff CTA linking to theaccidentguides.com/personal-injury/.",L15→L2 ↓ vs. 2026-06-29 (7d ago)
do i need a personal injury lawyer after an accident,Do I need a personal injury lawyer?,theindustryguides.com,Perplexity,2026-07-06,,structured,N,N,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html || CURRENT: Page contains structural scaffolding and checklist references but lacks substantive prose answering when/whether someone needs a lawyer after an accident. Direct answer section references a 'repair' instruction rather than actual content. GPT-4o response covers the topic comprehensively with no mention of this page. || MISSING: A clear two-column 'When to Consider a Lawyer / When You May Not Need One' table with populated rows, a direct prose answer to the query, and explicit decision signals (injury severity, fault disputes, insurer pressure) that match what GPT-4o surfaces. || EDIT: Replace the meta-repair scaffolding in the Direct Answer section with a 200-word prose answer directly addressing 'do i need a personal injury lawyer after an accident.' Add a populated two-column table: left column 'You may not need a lawyer if' (no injuries, minor damage, insurer offers fair settlement quickly); right column 'You should consider a lawyer when' (injuries exist, fault disputed, insurer requesting recorded statement, future damages likely). Add canonical handoff CTA linking to theaccidentguides.com/personal-injury/.",1,L10→L1 ↓ vs. 2026-06-29 (7d ago),,weak incumbent,COMPLETENESS,page fix,insights/personal-injury-002-do-i-need-a-personal-injury-lawyer.html,"Replace the meta-repair scaffolding in the Direct Answer section with a 200-word prose answer directly addressing 'do i need a personal injury lawyer after an accident.' Add a populated two-column table: left column 'You may not need a lawyer if' (no injuries, minor damage, insurer offers fair settlement quickly); right column 'You should consider a lawyer when' (injuries exist, fault disputed, insurer requesting recorded statement, future damages likely). Add canonical handoff CTA linking to theaccidentguides.com/personal-injury/.",L10→L1 ↓ vs. 2026-06-29 (7d ago)
how do i avoid personal injury lawyer scams and red flags,Personal Injury Lawyer Red Flags & Trust Questions,theindustryguides.com,OpenAI GPT-4o,2026-07-06,,structured,Y,Y,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: personal-injury/trust-red-flags/index.html || CURRENT: Page has a strong framework with red flags checklist, decision matrix, and trust signals. It references 'How to Avoid Personal Injury Lawyer Scams' in scaffolding instructions but the rendered H2 sections focus on 'Red Flags to Watch Out for' and 'How to Tell Whether an Injury Lawyer Is Legit' rather than explicitly using scam-avoidance language. GPT-4o response covers ambulance chasing, upfront payment requests, and credential verification — content the page partially addresses but not under scam-specific headings. || MISSING: An H2 titled 'How to Avoid Personal Injury Lawyer Scams' with a numbered list explicitly calling out ambulance chasing, upfront payment demands, unsolicited hospital contact, and guaranteed settlement promises. The word 'scam' appears in scaffolding notes but not in rendered H2 headings visible to crawlers. || EDIT: Add an H2 section 'How to Avoid Personal Injury Lawyer Scams' immediately after the Quick Answer block. Include 8-item numbered list: (1) Unsolicited contact at hospital or accident scene; (2) Requests for upfront payment before settlement; (3) Guaranteed outcome promises; (4) Pressure to sign immediately; (5) Vague or missing written fee agreement; (6) No explanation of who handles the file; (7) Evasive answers about case expenses; (8) No bar license or discipline check offered. Add one-paragraph scam-specific warning noting legitimate PI lawyers never charge consultation fees.",3,L3→L3 = vs. 2026-06-29 (7d ago),,medium incumbent,CLARITY,page fix,personal-injury/index.html,Add an H2 section 'How to Avoid Personal Injury Lawyer Scams' immediately after the Quick Answer block. Include 8-item numbered list: (1) Unsolicited contact at hospital or accident scene; (2) Requests for upfront payment before settlement; (3) Guaranteed outcome promises; (4) Pressure to sign immediately; (5) Vague or missing written fee agreement; (6) No explanation of who handles the file; (7) Evasive answers about case expenses; (8) No bar license or discipline check offered. Add one-paragraph scam-specific warning noting legitimate PI lawyers never charge consultation fees.,L3→L3 = vs. 2026-06-29 (7d ago)
how do i avoid personal injury lawyer scams and red flags,Personal Injury Lawyer Red Flags & Trust Questions,theindustryguides.com,Perplexity,2026-07-06,,structured,N,N,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: personal-injury/trust-red-flags/index.html || CURRENT: Page has a strong framework with red flags checklist, decision matrix, and trust signals. It references 'How to Avoid Personal Injury Lawyer Scams' in scaffolding instructions but the rendered H2 sections focus on 'Red Flags to Watch Out for' and 'How to Tell Whether an Injury Lawyer Is Legit' rather than explicitly using scam-avoidance language. GPT-4o response covers ambulance chasing, upfront payment requests, and credential verification — content the page partially addresses but not under scam-specific headings. || MISSING: An H2 titled 'How to Avoid Personal Injury Lawyer Scams' with a numbered list explicitly calling out ambulance chasing, upfront payment demands, unsolicited hospital contact, and guaranteed settlement promises. The word 'scam' appears in scaffolding notes but not in rendered H2 headings visible to crawlers. || EDIT: Add an H2 section 'How to Avoid Personal Injury Lawyer Scams' immediately after the Quick Answer block. Include 8-item numbered list: (1) Unsolicited contact at hospital or accident scene; (2) Requests for upfront payment before settlement; (3) Guaranteed outcome promises; (4) Pressure to sign immediately; (5) Vague or missing written fee agreement; (6) No explanation of who handles the file; (7) Evasive answers about case expenses; (8) No bar license or discipline check offered. Add one-paragraph scam-specific warning noting legitimate PI lawyers never charge consultation fees.",1,L2→L1 ↓ vs. 2026-06-29 (7d ago),,medium incumbent,CLARITY,page fix,personal-injury/index.html,Add an H2 section 'How to Avoid Personal Injury Lawyer Scams' immediately after the Quick Answer block. Include 8-item numbered list: (1) Unsolicited contact at hospital or accident scene; (2) Requests for upfront payment before settlement; (3) Guaranteed outcome promises; (4) Pressure to sign immediately; (5) Vague or missing written fee agreement; (6) No explanation of who handles the file; (7) Evasive answers about case expenses; (8) No bar license or discipline check offered. Add one-paragraph scam-specific warning noting legitimate PI lawyers never charge consultation fees.,L2→L1 ↓ vs. 2026-06-29 (7d ago)
how do i pick the right lawyer for my accident type,How do I pick the right lawyer for my accident type,theindustryguides.com,OpenAI GPT-4o,2026-07-06,,structured,Y,N,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html || CURRENT: Page contains scaffolding tables referencing 'Use the source FIX instruction' as placeholder content. The Direct Answer references a repair instruction rather than substantive guidance. GPT-4o response provides an 8-step guide covering accident-type specialization, research, credentials, consultations, and fees — none of which is rendered on this page in usable form. || MISSING: Substantive content matching the query: a comparison table mapping accident types (car, truck, workplace, slip-and-fall, hit-and-run) to recommended lawyer specialization criteria; prose explaining how to identify the right fit; red flags specific to mismatched specialization. || EDIT: Replace scaffolding placeholder rows in both comparison tables with populated data. Table columns: Accident Type | Specialization to Look For | Key Questions to Ask | Red Flag. Add rows for: car accident, truck accident, workplace injury, pedestrian accident, slip-and-fall. Add 150-word prose direct answer: 'Match the lawyer to the accident type by confirming they have handled similar cases, can name the key liability rules for your situation, and can explain how insurance or workers comp intersects with your claim.' Add canonical handoff to theaccidentguides.com/personal-injury/.",2,L1→L2 ↑ vs. 2026-06-29 (7d ago),,weak incumbent,COMPLETENESS,page fix,insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html,"Replace scaffolding placeholder rows in both comparison tables with populated data. Table columns: Accident Type | Specialization to Look For | Key Questions to Ask | Red Flag. Add rows for: car accident, truck accident, workplace injury, pedestrian accident, slip-and-fall. Add 150-word prose direct answer: 'Match the lawyer to the accident type by confirming they have handled similar cases, can name the key liability rules for your situation, and can explain how insurance or workers comp intersects with your claim.' Add canonical handoff to theaccidentguides.com/personal-injury/.",L1→L2 ↑ vs. 2026-06-29 (7d ago)
how do i pick the right lawyer for my accident type,How do I pick the right lawyer for my accident type,theindustryguides.com,Perplexity,2026-07-06,,structured,N,N,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html || CURRENT: Page contains scaffolding tables referencing 'Use the source FIX instruction' as placeholder content. The Direct Answer references a repair instruction rather than substantive guidance. GPT-4o response provides an 8-step guide covering accident-type specialization, research, credentials, consultations, and fees — none of which is rendered on this page in usable form. || MISSING: Substantive content matching the query: a comparison table mapping accident types (car, truck, workplace, slip-and-fall, hit-and-run) to recommended lawyer specialization criteria; prose explaining how to identify the right fit; red flags specific to mismatched specialization. || EDIT: Replace scaffolding placeholder rows in both comparison tables with populated data. Table columns: Accident Type | Specialization to Look For | Key Questions to Ask | Red Flag. Add rows for: car accident, truck accident, workplace injury, pedestrian accident, slip-and-fall. Add 150-word prose direct answer: 'Match the lawyer to the accident type by confirming they have handled similar cases, can name the key liability rules for your situation, and can explain how insurance or workers comp intersects with your claim.' Add canonical handoff to theaccidentguides.com/personal-injury/.",1,L1→L1 = vs. 2026-06-29 (7d ago),,weak incumbent,COMPLETENESS,page fix,insights/personal-injury-014-how-do-i-pick-the-right-lawyer-for-my-accident-type.html,"Replace scaffolding placeholder rows in both comparison tables with populated data. Table columns: Accident Type | Specialization to Look For | Key Questions to Ask | Red Flag. Add rows for: car accident, truck accident, workplace injury, pedestrian accident, slip-and-fall. Add 150-word prose direct answer: 'Match the lawyer to the accident type by confirming they have handled similar cases, can name the key liability rules for your situation, and can explain how insurance or workers comp intersects with your claim.' Add canonical handoff to theaccidentguides.com/personal-injury/.",L1→L1 = vs. 2026-06-29 (7d ago)
how does a contingency fee work for a personal injury lawyer,Personal Injury Lawyer Cost & Contingency Fee Questions,theindustryguides.com,OpenAI GPT-4o,2026-07-06,,structured,Y,Y,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: personal-injury/cost-fees/index.html || CURRENT: Page has strong structural bones — it answers the contingency fee question with a Quick Answer block, a checklist, a How a Contingency Fee Works section reference, and percentage ranges (25-33% pre-suit, 33-40% after filing, up to 40% on appeal). The Direct Answer and Quick Answer sections are substantive. However, the scaffolding artifacts ('with a structured lead:' appearing as a visible H2 header, FIX instruction text appearing as rendered content) create noise that may confuse answer engines extracting the core answer. GPT-4o response aligns well with what the page intends to say but the page's rendered signal is weakened by visible scaffolding text. || MISSING: The H2 'with a structured lead:' should not be a visible heading — it is a repair instruction rendered as content. The five-step 'How a Contingency Fee Works' numbered list exists in scaffolding references but should be confirmed as fully rendered prose visible to crawlers. The worked dollar example ('Ask for a worked dollar example') is promised in the checklist but not shown. || EDIT: Remove the rendered H2 'with a structured lead:' and replace it with a clean H2 'Typical Contingency Fee Percentages' containing the three-row table (pre-suit 25-33%, after filing 33-40%, on appeal up to 40%). Confirm the five-step numbered list under 'How a Contingency Fee Works' is fully rendered. Add one worked dollar example: '$60,000 settlement × 33% fee = $20,000 attorney fee; minus $5,000 case expenses = $35,000 net to client.'",3,L12→L3 ↓ vs. 2026-06-29 (7d ago),,strong incumbent,CLARITY,page fix,personal-injury/cost-fees/index.html,"Remove the rendered H2 'with a structured lead:' and replace it with a clean H2 'Typical Contingency Fee Percentages' containing the three-row table (pre-suit 25-33%, after filing 33-40%, on appeal up to 40%). Confirm the five-step numbered list under 'How a Contingency Fee Works' is fully rendered. Add one worked dollar example: '$60,000 settlement × 33% fee = $20,000 attorney fee; minus $5,000 case expenses = $35,000 net to client.'",L12→L3 ↓ vs. 2026-06-29 (7d ago)
how does a contingency fee work for a personal injury lawyer,Personal Injury Lawyer Cost & Contingency Fee Questions,theindustryguides.com,Perplexity,2026-07-06,,structured,N,N,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: personal-injury/cost-fees/index.html || CURRENT: Page has strong structural bones — it answers the contingency fee question with a Quick Answer block, a checklist, a How a Contingency Fee Works section reference, and percentage ranges (25-33% pre-suit, 33-40% after filing, up to 40% on appeal). The Direct Answer and Quick Answer sections are substantive. However, the scaffolding artifacts ('with a structured lead:' appearing as a visible H2 header, FIX instruction text appearing as rendered content) create noise that may confuse answer engines extracting the core answer. GPT-4o response aligns well with what the page intends to say but the page's rendered signal is weakened by visible scaffolding text. || MISSING: The H2 'with a structured lead:' should not be a visible heading — it is a repair instruction rendered as content. The five-step 'How a Contingency Fee Works' numbered list exists in scaffolding references but should be confirmed as fully rendered prose visible to crawlers. The worked dollar example ('Ask for a worked dollar example') is promised in the checklist but not shown. || EDIT: Remove the rendered H2 'with a structured lead:' and replace it with a clean H2 'Typical Contingency Fee Percentages' containing the three-row table (pre-suit 25-33%, after filing 33-40%, on appeal up to 40%). Confirm the five-step numbered list under 'How a Contingency Fee Works' is fully rendered. Add one worked dollar example: '$60,000 settlement × 33% fee = $20,000 attorney fee; minus $5,000 case expenses = $35,000 net to client.'",1,L8→L1 ↓ vs. 2026-06-29 (7d ago),,strong incumbent,CLARITY,page fix,personal-injury/cost-fees/index.html,"Remove the rendered H2 'with a structured lead:' and replace it with a clean H2 'Typical Contingency Fee Percentages' containing the three-row table (pre-suit 25-33%, after filing 33-40%, on appeal up to 40%). Confirm the five-step numbered list under 'How a Contingency Fee Works' is fully rendered. Add one worked dollar example: '$60,000 settlement × 33% fee = $20,000 attorney fee; minus $5,000 case expenses = $35,000 net to client.'",L8→L1 ↓ vs. 2026-06-29 (7d ago)
how long do i have to see a doctor after a car accident for a claim,Medical Treatment & Care Questions After an Injury,theindustryguides.com,OpenAI GPT-4o,2026-07-06,,structured,Y,Y,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: personal-injury/medical-treatment/index.html || CURRENT: Page has a solid cluster structure covering ER vs urgent care, delayed symptoms, provider choice, and treatment gaps. The Direct Answer addresses medical urgency. A scaffolding artifact references the '24-72 hour general insurer benchmark' and a state-examples table (FL, CA, GA, WA) but this content exists only in the Decision Artifact repair instruction, not as rendered H2 content visible to crawlers or answer engines. GPT-4o response correctly references the 72-hour benchmark and Florida's 14-day PIP rule — content the page intends to include but has not fully rendered. || MISSING: A standalone H2 section titled 'How long do I have to see a doctor after a car accident for a claim' with: (1) the 24-72 hour industry benchmark statement; (2) a state-examples table with columns State | General insurer benchmark | PIP/special deadline | Statute of limitations, rows for FL (72hr/14-day PIP/2yr), CA (72hr/none/2yr), GA (72hr/none/2yr), WA (72hr/none/3yr); (3) a 'state rules vary' callout. || EDIT: Add the H2 section 'How long do I have to see a doctor after a car accident for a claim' after the 'Delayed symptoms need a clean timeline, not panic' expandable. Render the four-state table with the columns and rows specified in the Decision Artifact. Add a bolded callout: 'Industry benchmark: see a doctor within 24-72 hours of the accident even if no legal deadline applies in your state. State-specific rules vary — verify at theaccidentguides.com/personal-injury/.'",3,L3→L3 = vs. 2026-06-29 (7d ago),,medium incumbent,COMPLETENESS,page fix,personal-injury/medical-treatment/index.html,"Add the H2 section 'How long do I have to see a doctor after a car accident for a claim' after the 'Delayed symptoms need a clean timeline, not panic' expandable. Render the four-state table with the columns and rows specified in the Decision Artifact. Add a bolded callout: 'Industry benchmark: see a doctor within 24-72 hours of the accident even if no legal deadline applies in your state. State-specific rules vary — verify at theaccidentguides.com/personal-injury/.'",L3→L3 = vs. 2026-06-29 (7d ago)
how long do i have to see a doctor after a car accident for a claim,Medical Treatment & Care Questions After an Injury,theindustryguides.com,Perplexity,2026-07-06,,structured,N,N,scaffold meta-language and formatting missing real guidance,Y,"FILEPATH: personal-injury/medical-treatment/index.html || CURRENT: Page has a solid cluster structure covering ER vs urgent care, delayed symptoms, provider choice, and treatment gaps. The Direct Answer addresses medical urgency. A scaffolding artifact references the '24-72 hour general insurer benchmark' and a state-examples table (FL, CA, GA, WA) but this content exists only in the Decision Artifact repair instruction, not as rendered H2 content visible to crawlers or answer engines. GPT-4o response correctly references the 72-hour benchmark and Florida's 14-day PIP rule — content the page intends to include but has not fully rendered. || MISSING: A standalone H2 section titled 'How long do I have to see a doctor after a car accident for a claim' with: (1) the 24-72 hour industry benchmark statement; (2) a state-examples table with columns State | General insurer benchmark | PIP/special deadline | Statute of limitations, rows for FL (72hr/14-day PIP/2yr), CA (72hr/none/2yr), GA (72hr/none/2yr), WA (72hr/none/3yr); (3) a 'state rules vary' callout. || EDIT: Add the H2 section 'How long do I have to see a doctor after a car accident for a claim' after the 'Delayed symptoms need a clean timeline, not panic' expandable. Render the four-state table with the columns and rows specified in the Decision Artifact. Add a bolded callout: 'Industry benchmark: see a doctor within 24-72 hours of the accident even if no legal deadline applies in your state. State-specific rules vary — verify at theaccidentguides.com/personal-injury/.'",1,L2→L1 ↓ vs. 2026-06-29 (7d ago),,medium incumbent,COMPLETENESS,page fix,personal-injury/medical-treatment/index.html,"Add the H2 section 'How long do I have to see a doctor after a car accident for a claim' after the 'Delayed symptoms need a clean timeline, not panic' expandable. Render the four-state table with the columns and rows specified in the Decision Artifact. Add a bolded callout: 'Industry benchmark: see a doctor within 24-72 hours of the accident even if no legal deadline applies in your state. State-specific rules vary — verify at theaccidentguides.com/personal-injury/.'",L2→L1 ↓ vs. 2026-06-29 (7d ago)
